OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Orient College,"Cambridge University,Tribhuvan University","977-1-4721445, 4720158, 4720651, 4720181",info@orientcollege.com,http://www.orientcollege.com/,Maharajgunj       ,Kathmandu,Bagmati," Orient College Narayangopal Chowk, Maharajgunj","GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/orient-college,Private,,,,,
Morgan International College,Tribhuvan University,"977-1-4354088, 4356876, 4389516, 4389517,4389518, 4389519.",info@morgancollege.edu.np,http://www.morgancollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Morgan International College Basundhara-3, Kathmandu.","Bachelor of Information Management (BIM) ; 64;,Bachelor of Business Studies (BBS),Master of Business Studies (MBS) ; 40;",http://edusanjal.com/college/morgan-international-college,Private,,,,,
Xavier Academy,Tribhuvan University,"977-1-4430025, 4424289",info@xa.edu.np,http://www.xa.edu.np/,Lazimpat       ,Kathmandu,Bagmati," Xavier Academy Lazimpat, Kathmandu, Nepal",Bachelor of Business Studies (BBS),http://edusanjal.com/college/xavier-academy,Private,,,,,
Nobel College,Pokhara University,"977-1-4110525, 4110590, 2062330",infocollege@nobel.edu.np,http://www.nobelcollege.edu.np/,Sinamangal       ,Kathmandu,Bagmati,Sinamangal  Kathmandu   Bagmati,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 48;,Bachelor of Computer Information Systems (BCIS) ; 48;,Bachelor of Health Care Management (BHCM) ; 48;,Bachelor of Public Health (BPH) ; 40;,Bachelor of Pharmacy ; 40;,Bachelor of Science in Medical Laboratory Technology (B.Sc MLT) ; 30;,Bachelor of Science (B.Sc) in Nursing ; 30;,Bachelor of Science (B.Sc) in Medical Microbiology ; 20;,Bachelor of Science (B.Sc) in Medical Biochemistry ; 20;",http://edusanjal.com/college/nobel-college,Private,,,,,
Ashirwad College,Tribhuvan University,"977-1-4356231, 4352589",,,Samakhusi       ,Kathmandu,Bagmati," Ashirwad College Samakhusi, Kathmandu",Bachelor of Business Studies (BBS),http://edusanjal.com/college/ashirwad-college,Private,,,,,
National School of Science Education Network,"Purbanchal University,Tribhuvan University","977-1-4423706, 4422050, 4429035, 4435408",info@nist.edu.np,http://www.nist.edu.np/,Lainchour       ,Kathmandu,Bagmati," National School of Science Education Network G.P.O. 8659, Lainchour, Kathmandu",Bachelor of Science (B.Sc) in Bio-chemistry,http://edusanjal.com/college/national-school-science-education-network,Private,,,,,
Active Academy College,Tribhuvan University,977-1-4356400,activeacademy@gmail.com,http://activeacademycollege.edu.np/,Basundhara       ,Kathmandu,Bagmati," Active Academy College Basundhara, Kathmandu","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),MA Sociology and Anthropology,One year Bachelor of Education (B.Ed)",http://edusanjal.com/college/active-academy-college,Private,,,,,
BP Memorial Health Institute and Research Center,CTEVT,"977-1-4350807, 4355456",,,Dhapasi       ,Kathmandu,Bagmati,Dhapasi  Kathmandu   Bagmati,"PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;",http://edusanjal.com/college/bp-memorial-health-institute-and-research-center,Private,,,,,
Modern Nepal College,Tribhuvan University,"977-1-2020052, 4240028",mnc@vianet.com.np,http://www.mncollege.edu.np/,Bagbazar       ,Kathmandu,Bagmati," Modern Nepal College Bagbazar (Near Putalisadak Chowk)Kathmandu, Nepal GPO Box : 8975, EPC 5929","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/modern-nepal-college,Private,,,,,
ANPC College of Health Science,CTEVT,"977-1-6638510, 6636207",,,Ghattaghar       ,Bhaktapur,Bagmati," ANPC College of Health Science Kaushaltar, Bhaktapur",PCL Nursing,http://edusanjal.com/college/anpc-college-health-science,Private,,,,,
Hope International College,"CTEVT,Purbanchal University","977-1-5544736, 5545167",info@hopecollege.edu.np,http://hopecollege.edu.np/,Satdobato       ,Lalitpur,Bagmati," Hope International College Satdobato, Lalitpur, Nepal, P.O. Box: 8975 EPC 1365","PCL Nursing ; 40; ; 396360;,Bachelor of Science (B.Sc) in Nursing ; 20;,Bachelor of Pharmacy ; 30;,Post Basic Bachelor in Nursing (PBBN) ; 40;,Bachelor of Public Health (BPH) ; 40;",http://edusanjal.com/college/hope-international-college,Private,,,,,
Institute of Management Studies,Tribhuvan University,"977-1-4253250, 2030239",,,"Thapathali,         ",Kathmandu,Bagmati," AWES Institute of Management Studies Thapathali, Kathmandu","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;",http://edusanjal.com/college/institute-of-management-studies,Private,,,,,
Pinnacle Higher Secondary School and College,"CTEVT,Tribhuvan University","977-1-5544023, 5524723",info@pinnacle.edu.np,http://www.pinnacle.edu.np/,Lagankhel       ,Lalitpur,Bagmati," Pinnacle Academy/ College Lagankhel, Lalitpur, Nepal.","Diploma in Pharmacy ; 40; ; 281656;,Bachelor of Science (B.Sc) in Microbiology",http://edusanjal.com/college/pinnacle-higher-secondary-school-and-college,Private,,,,,
Everest Multiple College-Thamel,Tribhuvan University,"977-1-4352224, 4352358",emc@emc.edu.np,http://www.emc.edu.np/,"Galkopakha, Thamel       ",Kathmandu,Bagmati,"Galkopakha, Thamel  Kathmandu   Bagmati",Bachelor of Business Studies (BBS),http://edusanjal.com/college/everest-college-multiple-studies,Private,,,,,
National College of Computer Studies (NCCS),Tribhuvan University,"977-1-4251711,4267961",info@nccs.edu.np,http://www.nccs.edu.np/,Paknajol       ,Kathmandu,Bagmati," National College of Computer Studies Paknajol, Kathmandu","Bachelor of Information Management (BIM) ; 64;,Bachelor of Hotel Management (BHM) ; 84;,B.Sc. Computer Science And Information Technology (B.SC. CSIT)",http://edusanjal.com/college/national-college-computer-studies,Private,,,,,
Kantipur City College,Purbanchal University,"977-1-4430239,4437093",info@kcc.edu.np,http://www.kcc.edu.np/,"Putalisadak,       ",Kathmandu,Bagmati," Kantipur City College (Opposite to Sharemarket) Putalisadak, Kathmandu, Nepal PO Box: 12837","Bachelor of Information Technology (BIT),Bachelor of Computer Application (BCA),Bachelor of Civil Engineering ; 144;,Bachelor of Electronics & Communication Engineering ; 40;,Bachelor of Computer Engineering ; 40;,Bachelor of Business Administration (BBA),Post Graduate Diploma in Computer Application,Master of Computer Application,MA in Mass Communication and Journalism",http://edusanjal.com/college/kantipur-city-college,Private,,,,,
Kathford International College of Engineering and Management,Tribhuvan University,"977-1-5201241, 2050226",info@kathford.edu.np,http://www.kathford.edu.np/,Balkumari       ,Lalitpur,Bagmati,": Kathford International College of Engineering and Management Engineering and Admin Block Ring Road, Balkumari Chowk, Lalitpur Phone: 01-5201241, 5201911 Fax: 01-5201899 BBA and B.Sc. CSIT Block Ring Road, Way to Chyasal from Balkumari Chowk, Lalitpur Phone: 01-5006446, 5006112 Fax: 01-5201899","Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 48;,Bachelor of Civil Engineering ; 96;,B.Sc. Computer Science And Information Technology (B.SC. CSIT) ; 48;,Bachelor of Business Administration (BBA) ; 64;",http://edusanjal.com/college/kathford-international-college-engineering-and-management,Private,,,,,
Welhams College,"Tribhuvan University,University of Madras","977-1-4464524, 4464525",info@welhamscollege.com,http://www.welhamscollege.com/,Mid Baneshwor       ,Kathmandu,Bagmati,Mid Baneshwor  Kathmandu   Bagmati,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Master of Business Administration (MBA),Bachelor of Business Administration (BBA)",http://edusanjal.com/college/welhams-college,Private,,,,,
Kantipur College of Management and Information Technology,Tribhuvan University,"977-1-4479939, 6214186",kcmit@email.com,http://www.kcmit.edu.np/,Old Baneshwor       ,Kathmandu,Bagmati," Kantipur College of Management and Information Technology Baskukimarg, Old Baneshwor Kathmandu Post Box No: 19344","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;",http://edusanjal.com/college/kantipur-college-management-and-information-technology,Private,,,,,
United Academy and College,Tribhuvan University,"977-1-5537527, 5537530, 5533192",ucollege@united.edu.np,http://www.united.edu.np/,Satdobato       ,Lalitpur,Bagmati," United Academy College G.P.O. box: 8975 EPC 1195, Lalitpur, Nepal","Master of Business Studies (MBS),Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/united-academy-and-college,Private,,,,,
Texas International College,"Lincoln University College ,Tribhuvan University","977-1-4479017, 4483955",texasintl@edu.np,http://www.texasintl.edu.np/,Chabhil       ,Kathmandu,Bagmati," Texas International College Mitrapark, Chabhil, Kathmandu","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Administration (BBA),Master of Business Administration (MBA)",http://edusanjal.com/college/texas-international-higher-secondary-school-and-college,Private,,,,,
Sigma College,Tribhuvan University,977-1-4358484,info@sigmacollege.com,http://sigmacollege.com/,Sorakhutte       ,Kathmandu,Bagmati," Sigma College Sorakhutte, Kathmandu","Bachelor of Education (B.Ed),Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/sigma-college,Private,,,,,
Nepal College of Travel and Tourism Management (NCTTM),Tribhuvan University,"977-1-4485959, 4485961",bhm@ncttm.edu.np,http://www.ncttm.com/,"Ratopul, Gaushala       ",Kathmandu,Bagmati," Nepal College of Travel and Tourism Management (NCTTM College) Ratopul, Gaushala, Kathmandu","Master of Travel and Tourism Management (MTTM) ; 40;,Bachelor in Travel and Tourism Management (BTTM) ; 84;,Bachelor of Hotel Management (BHM) ; 84;",http://edusanjal.com/college/nepal-college-travel-and-tourism-management,Private,,,,,
Shahid Smarak College,Tribhuvan University,"333937, 4330279",info@sscollege.com.np,http://sscollege.com.np/,Kirtipur       ,Kathmandu,Bagmati," Shahid Smarak College Kirtipur, NayaBazar","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/shahid-smarak-college,Private,,,,,
Brilliant Multiple Campus,Tribhuvan University,"977-1-4478687, 4488714, 4495736",,http://www.brilliant.edu.np/,Siphal       ,Kathmandu,Bagmati," Brilliant Multiple Campus/Brilliant Educational Higher Secondary School Siphal, Kathmandu,","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/brilliant-multiple-campus,Private,,,,,
Little Buddha College of Health Science,"CTEVT,Purbanchal University","01-4784458, 4784459",info@littlebuddhacollege.edu.np,http://www.littlebuddhacollege.edu.np/,Min Bhawan       ,Kathmandu,Bagmati," Little Buddha College of Health Sciences Min Bhawan, Kathmandu, Nepal","Diploma in Pharmacy ; 40; ; 281656;,Bachelor of Pharmacy ; 30;,Bachelor of Public Health (BPH) ; 40;,Master of Public Health (MPH) ; 20;",http://edusanjal.com/college/little-buddha-college-health-science,Private,,,,,
KIST College,"Purbanchal University,Tribhuvan University","977-1-4434990,4434178",kist@info.com.np,http://www.kist.edu.np/,Kamalpokhari       ,Kathmandu,Bagmati," KIST College PO Box: 3928, Kamalpokhari, Kathmandu, Nepal","Bachelor of Business Administration (BBA) ; 64;,Bachelor of Information Management (BIM) ; 64;,Bachelor of Information Technology (BIT),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Bachelor of Science (B.Sc) in Microbiology",http://edusanjal.com/college/kist-college,Private,,,,,
Chelsea International Academy,Cambridge University,"977-1-4472902,4499662, 4483212",mail@chelseainternational.com.np,http://www.chelseainternational.com.np/,New Baneshwor       ,Kathmandu,Bagmati,": Chelsea Int'l Academy Lakhe Chaur Marg, New Baneshwor, Kathmandu GPO Box: 25201","GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/chelsea-international-academy,Private,,,,,
Rato Bangala School,Cambridge University,"977-1-5534318, 5542045, 5522614,5547620",rbs@mos.com.np,http://www.ratobangala.edu.np/,Patan Dhoka       ,Lalitpur,Bagmati,Patan Dhoka  Lalitpur   Bagmati,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/rato-bangala-school,Private,,,,,
Andrew J. Wild College,Cambridge University,"977-1-4002547, 4428197, 4413137,6207595",info@ajwild.edu.np,http://www.ajwild.edu.np/,Maharajgunj       ,Kathmandu,Bagmati,": A J Wild Institute Of Advanced Studies P.O. Box:23243 140, Rup Bahadur Galli, Panipokhari Maharajgunj, Kathmandu, Nepal","GCE A level- Science,GCE A level Non-Science",http://edusanjal.com/college/aj-wild-institute-advanced-studies,Private,,,,,
Lumbini International College,Cambridge University,"977-1-5527054,5531846",lic@vianet.com.np,http://licedu.com/,Mahalakshmisthan       ,Lalitpur,Bagmati,Mahalakshmisthan  Lalitpur   Bagmati,"GCE A level Non-Science ; 20;,GCE A level- Science ; 20;",http://edusanjal.com/college/lumbini-international-college,Private,,,,,
Janakpur Engineering College,Tribhuvan University,"01-5091615,01-5091616",info@jec.edu.np,http://www.jec.edu.np/,Tathali       ,Bhaktapur,Bagmati," Janakpur Engineering College Tathali, Bhaktapur","Bachelor of Civil Engineering ; 96;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 48;",http://edusanjal.com/college/janakpur-engineering-college,Private,,,,,
Kathmandu Engineering College,Tribhuvan University,"977-1-4284902,4276130",info@keckist.edu.np,http://keckist.edu.np/,Kalimati       ,Kathmandu,Bagmati," P.0.Box:3928, Kalimati,Kathmandu,Nepal","Bachelor of Civil Engineering ; 121;,Bachelor of Electronics and Communication Engineering ; 132;,Bachelor of Computer Engineering ; 88;,Bachelor of Electrical Engineering ; 44;,Bachelor of Architecture ; 55;,M.Sc in Microbiology,Bachelor of Science (B.Sc) in Microbiology",http://edusanjal.com/college/kathmandu-engineering-college,Private,,,,,
Kantipur Engineering College,Tribhuvan University,"977-1-5571004,5571005",admin@kec.edu.np,http://www.kec.edu.np/,Dhapakhel       ,Lalitpur,Bagmati,": Kantipur Engineering College Dhapakhel-2, Lalitpur P.O.Box:8849 KTM. Nepal","Bachelor of Civil Engineering ; 88;,Bachelor of Electronics and Communication Engineering ; 88;,Bachelor of Computer Engineering ; 132;",http://edusanjal.com/college/kantipur-engineering-college,Private,,,,,
Advanced College of Engineering and Management,Tribhuvan University,"977-1-5522852,5539322",info@acem.edu.np,http://www.acem.edu.np/,Kupondole       ,Lalitpur,Bagmati," Advanced College of Engineering and Management Kupondole, Lalitpur","Bachelor of Civil Engineering ; 120;,Bachelor of Electrical Engineering ; 40;,Bachelor of Electronics and Communication Engineering ; 88;,Bachelor of Computer Engineering ; 88;",http://edusanjal.com/college/advanced-college-engineering-and-management,Private,,,,,
Himalaya College of Engineering,Tribhuvan University,"01-5540555, 01-5554636, 01-5554297, 01-5554287",info@hcoe.edu.np,http://hcoe.edu.np/,Chysal-9       ,Lalitpur,Bagmati, Himalaya College of Engineering Chysal-9 Lalitpur PO Box: 24726,"Bachelor of Architecture ; 24;,Bachelor of Civil Engineering ; 96;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 66;,B.Sc. Computer Science And Information Technology (B.SC. CSIT)",http://edusanjal.com/college/himalaya-college-engineering,Private,,,,,
Vinayak College of Health Science,CTEVT,"977-1-4464505,4482519,4472814",info@vnc.edu.np,http://www.vnc.edu.np/,Battisputali       ,Kathmandu,Bagmati,Battisputali  Kathmandu   Bagmati,"PCL Nursing ; 40;,Certificate in Medical Laboratory Technology (CMLT),Health Assistant (HA) ; 40;",http://edusanjal.com/college/vinayak-college-health-science,Private,,,,,
Siddhartha Vanasthali Institute,Tribhuvan University,"977-1-4350884,4350075",rupak@sidarth.wlink.com.np,http://www.svi.edu.np/,Balaju       ,Kathmandu,Bagmati,Balaju  Kathmandu   Bagmati,Bachelor of Business Studies (BBS),http://edusanjal.com/college/siddhartha-vanasthali-institute,Private,,,,,
Saipal Academy,Cambridge University,"977-1-4009054, 4009055",saipal@mail.com.np,http://www.saipal.edu.np/,Dhumbarahi       ,Kathmandu,Bagmati,Dhumbarahi  Kathmandu   Bagmati,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/saipal-academy,Private,,,,,
Everest International College and Higher Secondary School,Tribhuvan University,"977-1-4274590, 2030200",info@eicollege.com,http://www.eicollegeedu.com/,"Soaltee Mode, Kalimati       ",Kathmandu,Bagmati,"Soaltee Mode, Kalimati  Kathmandu   Bagmati",Bachelor of Business Studies (BBS),http://edusanjal.com/college/everest-international-college-and-higher-secondary-school,Private,,,,,
Gyankunj Higher Secondary School and College,Tribhuvan University,"977-1-4270133, 4272330, 4272334",info@gyankunjfoundation.edu.np,http://www.gyankunjfoundation.edu.np/,Ravibhawan       ,Kathmandu,Bagmati,Ravibhawan  Kathmandu   Bagmati,Bachelor of Business Studies (BBS),http://edusanjal.com/college/gyankunj-higher-secondary-school-and-college,Private,,,,,
Richmond International College,Tribhuvan University,"977-1-4275927, 4273861",info@richmond.edu.np,http://www.richmond.edu.np/,Kalanki       ,Kathmandu,Bagmati,Kalanki  Kathmandu   Bagmati,"Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/richmond-international-college,Private,,,,,
Balkumari College,"CTEVT,Purbanchal University,Tribhuvan University","977-56-521842, 524842, 526527",info@balkumaricollege.edu.np,http://www.balkumaricollege.edu.np/,Narayangarh       ,Chitwan,Narayani," Balkumari College P.O.Box: 03 Narayangarh, Chitwan, Nepal","Bachelor of Hotel Management (BHM) ; 84;,PCL Nursing ; 40; ; 396360;,Bachelor of Business Administration (BBA),Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Microbiology,Master of Business Studies (MBS),B.Ed in Information Communication Technology,TSLC in Community Medicine Assistant-CMA ; 40;,Auxiliary Nurse Midwife (ANM) ; 40;",http://edusanjal.com/college/balkumari-college,Private,,,,,
Pasang Lhamu Sherpa Memorial College,Tribhuvan University,"977-1-4363000, 4382617, 4353810",info@plsmc.edu.np,http://plsmc.edu.np/,Samakhusi       ,Kathmandu,Bagmati,Samakhusi  Kathmandu   Bagmati,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/pasang-lhamu-sherpa-memorial-college,Private,,,,,
College of Information Technology and Engineering,Purbanchal University,"977-1-4111840,4111503",info@cit.edu.np,http://www.cit.edu.np/,Tinkune       ,Kathmandu,Bagmati,Tinkune  Kathmandu   Bagmati,"Bachelor of Computer Application (BCA),Bachelor of Information Technology (BIT),Bachelor of Business Administration (BBA),Bachelor of Computer Engineering ; 40;,Bachelor of Electronics & Communication Engineering ; 40;",http://edusanjal.com/college/college-information-technology-and-engineering,Private,,,,,
Kankai Multiple Campus,Tribhuvan University,023-550153,,,Surunga       ,Jhapa,Mechi,Surunga  Jhapa   Mechi,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Bachelor of Arts-BA,Master of Education (M.Ed) General",http://edusanjal.com/college/kankai-multiple-campus,Private,,,,,
Gomendra Higher Secondary School and College,Purbanchal University,"977-23- 540892, 540437",,http://www.gomendracollege.edu.np/,        ,Jhapa,Mechi,Jhapa  Jhapa   Mechi,"Bachelor of Computer Application (BCA),Bachelor of Business Administration (BBA)",http://edusanjal.com/college/gomendra-higher-secondary-school-and-college,Private,,,,,
BST College,Tribhuvan University,"977-1-4354704, 4353708",info@bst.edu.np,http://www.bst.edu.np/,Gongabu       ,Kathmandu,Bagmati,Gongabu  Kathmandu   Bagmati,Bachelor of Business Studies (BBS),http://edusanjal.com/college/bst-college,Private,,,,,
Kathmandu Academy of Tourism and Hospitality,Purbanchal University,977-1-4275261,info@kathtourism.edu.np,http://www.kathtourism.edu.np/,"Rabibhawan, Kalimati       ",Kathmandu,Bagmati,"Rabibhawan, Kalimati  Kathmandu   Bagmati","Bachelor of Travel and Tourism Studies (BTTS),Master of Tourism Studies",http://edusanjal.com/college/kathmandu-academy-tourism-and-hospitality,Private,,,,,
GS College,Tribhuvan University,977-1-4672431,gsc_school@yahoo.com,http://www.gscollege.edu.np/,Kalimati       ,Kathmandu,Bagmati,Kalimati  Kathmandu   Bagmati,Bachelor of Business Studies (BBS),http://edusanjal.com/college/gs-college,Private,,,,,
Himalayan Institute of Science and Technology,Purbanchal University,"01-4112000, 01-4112044",info@hist.edu.np,http://www.hist.edu.np/,New Baneshwor       ,Kathmandu,Bagmati,New Baneshwor  Kathmandu   Bagmati,"Bachelor of Civil Engineering ; 72;,Bachelor of Electronics & Communication Engineering ; 35;,M.Sc in Engineering Management ; 30;,M.Sc in Information System Engineering ; 30;",http://edusanjal.com/college/himalayan-institute-science-and-technology,Private,,,,,
Unique Academy and College,Tribhuvan University,"977-1-5538625, 5552200, 5550010",info@uniquecollege.com.np,http://www.uniquecollege.com.np/,Kumaripati       ,Lalitpur,Bagmati," Unique Academy and Unique College of Management GPO Box: 5593 Kumaripati, Lalitpur",Bachelor of Business Studies (BBS),http://edusanjal.com/college/unique-academy-and-college,Private,,,,,
Gyanodaya Bal Batika Higher Secondary School,Tribhuvan University,977-1-5521741,gbbs@wlink.com.np,http://www.gyanodaya.com/,Sanepa       ,Lalitpur,Bagmati," Gyanodaya Bal Batika H S School and College Sanepa, Lalitpur, Nepal P.O. Box: 2457, Kathmandu, Nepal",Bachelor of Business Studies (BBS),http://edusanjal.com/college/gyanodaya-bal-batika-higher-secondary-school,Private,,,,,
Milestone International College,Tribhuvan University,"977-1-5539060, 5547582",info@milestone.edu.np,http://www.milestone.edu.np/,Balkumari       ,Lalitpur,Bagmati," Milestone International College Balkumari, Lalitpur",Bachelor of Business Studies (BBS),http://edusanjal.com/college/milestone-international-college,Private,,,,,
Newton International College,Tribhuvan University,977-1-4479210,info@newtoninco.com,http://www.newtoninco.com/,Siphal       ,Kathmandu,Bagmati," Newton International College Dharma Bhakta Marg, Kutubahal, Siphal, Kathmandu, Nepal","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Social Works (BSW)",http://edusanjal.com/college/newton-international-college,Private,,,,,
Global Higher Secondary School/ Global Village College,Tribhuvan University,"977-1-5523374, 5522521, 5542332",gess@enet.com.np,,Lagankhel       ,Lalitpur,Bagmati," Global H S School/ Global Village College Lagankhel, Lalitpur","Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/global-higher-secondary-school-global-village-college,Private,,,,,
Cosmopolitan College,Tribhuvan University,"977-1-4462867, 4481893",info@cosmopolitan.edu.np,http://www.cosmopolitan.edu.np/,Chabhil       ,Kathmandu,Bagmati," Cosmopolitan College Chabhil, Kathmandu, Nepal GPO Box: 8973","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/cosmopolitan-college,Private,,,,,
Tsho Rolpa Nursing College,CTEVT,"049-421523, 421904",tshonursingcollege@yahoo.com,,"Bhimeshwor Municipality-1, Charikot       ",Dolakha,Janakpur,"Bhimeshwor Municipality-1, Charikot  Dolakha   Janakpur",PCL Nursing ; 40;,http://edusanjal.com/college/tsho-rolpa-nursing-college,Private,,,,,
Madan Bhandari Memorial College,Tribhuvan University,977-1-4464775,mbmcollege@wlink.com.np,http://www.mbmc.edu.np/,Binayaknagar       ,Kathmandu,Bagmati," Madan Bhandari Memorial College PO Box: 5640 Binayaknagar, (Opposite to Anamnagar), New Baneshwor, Kathmandu","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Master of Arts (MA) in English,Bachelor of Education (B.Ed),MA in Journalism and Mass Communication,MA Sociology and Anthropology",http://edusanjal.com/college/madan-bhandari-memorial-college,Private,,,,,
Rainbow International Higher Secondary School and College,Tribhuvan University,"977-1-4280842, 4281090, 4278169",,,"Chhauni, Dallu       ",Kathmandu,Bagmati,"Chhauni, Dallu  Kathmandu   Bagmati","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed)",http://edusanjal.com/college/rainbow-international-higher-secondary-school-and-college,Private,,,,,
SeaBird International College,Tribhuvan University,977-1- 6631448,info@seabird.edu.np,http://www.seabird.edu.np/,Madhyapur Thimi       ,Bhaktapur,Bagmati," Seabird International + 2 College (Higher Secondary School) Madhyapur Thimi, Shankhadhar Chowk Bhaktapur, Nepal",Bachelor of Business Studies (BBS),http://edusanjal.com/college/seabird-international-college,Private,,,,,
Eastern College of Engineering,Purbanchal University,"977-21-538412, 526925",eascoll@bcn.com.np,http://www.eascoll.edu.np/,        ,Morang,Koshi," Eastern College of Engineering Bhupalgram, Biratnagar-2","Bachelor of Electronics & Communication Engineering ; 30;,Bachelor of Civil Engineering ; 96;,Bachelor of Computer Engineering ; 40;,M.Sc in Engineering Management ; 60;",http://edusanjal.com/college/eastern-college-of-engineering,Private,,,,,
Mankamana Higher Secondary School/ Jaya Multiple Campus,Tribhuvan University,"977-1-2073467, 4910340, 4910330",info@jdmmc.com.np,http://jdmmc.com.np/,Jorpati       ,Kathmandu,Bagmati," Mankamana H S School P.O.Box: 3798 Jorpati-7, Kathmandu","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/mankamana-higher-secondary-school-jaya-multiple-campus,Private,,,,,
Herald International College,Tribhuvan University,"977-1-4720672, 4720930",heraldcolle@wlink.com.np,http://www.heraldintlcollege.edu.np/,Maharajgunj       ,Kathmandu,Bagmati," Herald International College Narayangopal Chowk, Maharajgunj Kathmandu, Nepal GPO Box: 11306","Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/herald-international-college,Private,,,,,
Sirius College,Tribhuvan University,"977-1-4272120, 4272627",siriusedu@wlink.com.np,http://www.siriusedunepal.com/,Bafal       ,Kathmandu,Bagmati," Sirius HIgher Secondary School and College Bafal, Kathmandu-13",Bachelor of Business Studies (BBS),http://edusanjal.com/college/sirius-college,Private,,,,,
Grammar Public Higher Secondary School,Tribhuvan University,"977-1-4601865, 4600367,4601213",info@gphss.edu.np,http://www.gphss.edu.np/,Koteshwor       ,Kathmandu,Bagmati," Grammar Public H S School/ College SetiopiMarga,Koteshwor-35 Kathmandu,Nepal",Bachelor of Business Studies (BBS),http://edusanjal.com/college/grammar-public-higher-secondary-school,Private,,,,,
Cambridge International College,Tribhuvan University,977-1-4273858,,,Kalanki       ,Kathmandu,Bagmati," Cambridge International Boarding H S School and College Kalanki-14, Kathmandu","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/cambridge-international-college,Private,,,,,
Pushpalal Memorial College (PLMC),Tribhuvan University,"977-1-4477177, 4461214",pushpalalcollege@gmail.com,http://www.pushpalalcollege.com/,Chabhil       ,Kathmandu,Bagmati,Chabhil  Kathmandu   Bagmati,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Bachelor of Arts-BA",http://edusanjal.com/college/pushpalal-memorial-college,Private,,,,,
College of Development Studies,Purbanchal University,977-1-4471130,cdsnepal@mail.com.np,http://www.cds.edu.np/,Old Baneshwor       ,Kathmandu,Bagmati," College of Development Studies (CDS) P O Box 2708, Baburam Acharya Marga, Old Baneshwor, Kathmandu NEPAL",Master in Development Studies,http://edusanjal.com/college/college-development-studies,Private,,,,,
Arunima Higher Secondary School School and College,Tribhuvan University,"977-1-4478574, 4470223",aef@arunima.edu.np,http://www.arunima.edu.np/,Bauddha       ,Kathmandu,Bagmati," Arunima H S School and College PO Box: 11598 Bauddha,Kumarigal Kathmandu",Bachelor of Business Studies (BBS),http://edusanjal.com/college/arunima-higher-secondary-school-school-and-college,Private,,,,,
