OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Kankai Multiple Campus,HSEB,023-550153,,,Surunga       ,Jhapa,Mechi,Surunga  Jhapa   Mechi,"Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/kankai-multiple-campus,Private,,,,,
Gomendra Higher Secondary School and College,HSEB,"977-23- 540892, 540437",,http://www.gomendracollege.edu.np/,        ,Jhapa,Mechi,Jhapa  Jhapa   Mechi,Ten Plus Two Management,http://edusanjal.com/college/gomendra-higher-secondary-school-and-college,Private,,,,,
BST College,HSEB,"977-1-4354704, 4353708",info@bst.edu.np,http://www.bst.edu.np/,Gongabu       ,Kathmandu,Bagmati,Gongabu  Kathmandu   Bagmati,"Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/bst-college,Private,,,,,
GS College,HSEB,977-1-4672431,gsc_school@yahoo.com,http://www.gscollege.edu.np/,Kalimati       ,Kathmandu,Bagmati,Kalimati  Kathmandu   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/gs-college,Private,,,,,
Unique Academy and College,HSEB,"977-1-5538625, 5552200, 5550010",info@uniquecollege.com.np,http://www.uniquecollege.com.np/,Kumaripati       ,Lalitpur,Bagmati," Unique Academy and Unique College of Management GPO Box: 5593 Kumaripati, Lalitpur","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/unique-academy-and-college,Private,,,,,
Gyanodaya Bal Batika Higher Secondary School,HSEB,977-1-5521741,gbbs@wlink.com.np,http://www.gyanodaya.com/,Sanepa       ,Lalitpur,Bagmati," Gyanodaya Bal Batika H S School and College Sanepa, Lalitpur, Nepal P.O. Box: 2457, Kathmandu, Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/gyanodaya-bal-batika-higher-secondary-school,Private,,,,,
Milestone International College,HSEB,"977-1-5539060, 5547582",info@milestone.edu.np,http://www.milestone.edu.np/,Balkumari       ,Lalitpur,Bagmati," Milestone International College Balkumari, Lalitpur","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/milestone-international-college,Private,,,,,
Global Higher Secondary School/ Global Village College,HSEB,"977-1-5523374, 5522521, 5542332",gess@enet.com.np,,Lagankhel       ,Lalitpur,Bagmati," Global H S School/ Global Village College Lagankhel, Lalitpur","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/global-higher-secondary-school-global-village-college,Private,,,,,
Cosmopolitan College,HSEB,"977-1-4462867, 4481893",info@cosmopolitan.edu.np,http://www.cosmopolitan.edu.np/,Chabhil       ,Kathmandu,Bagmati," Cosmopolitan College Chabhil, Kathmandu, Nepal GPO Box: 8973","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/cosmopolitan-college,Private,,,,,
Liverpool International College,HSEB,"977-1- 4781230, 4780902, 4782509",nfo@liverpool.edu.np,http://liverpool.edu.np/,New Baneshwor       ,Kathmandu,Bagmati,New Baneshwor  Kathmandu   Bagmati,"Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/liverpool-international-college,Private,,,,,
Ideal English Higher Secondary School,HSEB,"977-1-4470363, 4498858",info@idal.edu.np,http://www.ideal.edu.np/,Chabhil       ,Kathmandu,Bagmati," Ideal English H S School Maijubahal, Chabahil, P. O. Box: 5308, Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/ideal-english-higher-secondary-school,Private,,,,,
Madan Bhandari Memorial College,HSEB,977-1-4464775,mbmcollege@wlink.com.np,http://www.mbmc.edu.np/,Binayaknagar       ,Kathmandu,Bagmati," Madan Bhandari Memorial College PO Box: 5640 Binayaknagar, (Opposite to Anamnagar), New Baneshwor, Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/madan-bhandari-memorial-college,Private,,,,,
Rainbow International Higher Secondary School and College,HSEB,"977-1-4280842, 4281090, 4278169",,,"Chhauni, Dallu       ",Kathmandu,Bagmati,"Chhauni, Dallu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Education,Ten Plus Two Humanities",http://edusanjal.com/college/rainbow-international-higher-secondary-school-and-college,Private,,,,,
SeaBird International College,HSEB,977-1- 6631448,info@seabird.edu.np,http://www.seabird.edu.np/,Madhyapur Thimi       ,Bhaktapur,Bagmati," Seabird International + 2 College (Higher Secondary School) Madhyapur Thimi, Shankhadhar Chowk Bhaktapur, Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/seabird-international-college,Private,,,,,
Mankamana Higher Secondary School/ Jaya Multiple Campus,HSEB,"977-1-2073467, 4910340, 4910330",info@jdmmc.com.np,http://jdmmc.com.np/,Jorpati       ,Kathmandu,Bagmati," Mankamana H S School P.O.Box: 3798 Jorpati-7, Kathmandu","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/mankamana-higher-secondary-school-jaya-multiple-campus,Private,,,,,
Universal Higher Secondary School- Dhumbarahi,HSEB,"01-4437535,01-4437545",usbhs@yahoo.com,http://universalhss.edu.np/,Dhumbarahi       ,Kathmandu,Bagmati,Dhumbarahi  Kathmandu   Bagmati,"Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/universal-english-higher-secondary-school,Private,,,,,
Herald International College,HSEB,"977-1-4720672, 4720930",heraldcolle@wlink.com.np,http://www.heraldintlcollege.edu.np/,Maharajgunj       ,Kathmandu,Bagmati," Herald International College Narayangopal Chowk, Maharajgunj Kathmandu, Nepal GPO Box: 11306","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/herald-international-college,Private,,,,,
Alliance Academy Higher Secondary School,HSEB,"977-1-4481410,4491598",info@alliance.edu.np,http://www.alliance.edu.np/,Thapagaun       ,Kathmandu,Bagmati," Alliance Academy H S School Bhupi Sherchan Marga, Kathmandu","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/alliance-academy-higher-secondary-school,Private,,,,,
Sirius College,HSEB,"977-1-4272120, 4272627",siriusedu@wlink.com.np,http://www.siriusedunepal.com/,Bafal       ,Kathmandu,Bagmati," Sirius HIgher Secondary School and College Bafal, Kathmandu-13","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/sirius-college,Private,,,,,
Triyog Higher Secondary School,HSEB,"977-1-4365285, 4381695",ths@triyog.wlink.com.np,http://www.triyog.edu.np/,Dhapasi       ,Kathmandu,Bagmati," Triyog H S School Dhapasi-6, Kathmandu P.O. Box: 1909",Ten Plus Two Management,http://edusanjal.com/college/triyog-higher-secondary-school,Private,,,,,
Himalaya International Model Higher Secondary School (HIMS),HSEB,"977-1-4910714, 4910581",,http://www.himsschool.com/,Jorpati       ,Kathmandu,Bagmati," Himalaya International Model H S School Narayanatar, Kathmandu","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/himalaya-international-model-higher-secondary-school,Private,,,,,
Grammar Public Higher Secondary School,HSEB,"977-1-4601865, 4600367,4601213",info@gphss.edu.np,http://www.gphss.edu.np/,Koteshwor       ,Kathmandu,Bagmati," Grammar Public H S School/ College SetiopiMarga,Koteshwor-35 Kathmandu,Nepal","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/grammar-public-higher-secondary-school,Private,,,,,
Cambridge International College,HSEB,977-1-4273858,,,Kalanki       ,Kathmandu,Bagmati," Cambridge International Boarding H S School and College Kalanki-14, Kathmandu","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/cambridge-international-college,Private,,,,,
Bright Land English Higher Secondary School Kathmandu,HSEB,"977-1-4356041, 4361443",info@brightland.edu.np,http://brightland.edu.np/,Balaju       ,Kathmandu,Bagmati," Bright Land English H S School Balaju, Kathmandu",Ten Plus Two Management,http://edusanjal.com/college/bright-land-english-higher-secondary-school,Private,,,,,
Pushpalal Memorial College (PLMC),HSEB,"977-1-4477177, 4461214",pushpalalcollege@gmail.com,http://www.pushpalalcollege.com/,Chabhil       ,Kathmandu,Bagmati,Chabhil  Kathmandu   Bagmati,"Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/pushpalal-memorial-college,Private,,,,,
Viswa Niketan Higher Secondary School,HSEB,"977-1-4266306, 4248838, 4265335",,http://www.vnhss.edu.np/,Tripureshwar       ,Kathmandu,Bagmati," Viswa Niketan H S School Tripureshwar, Kathmandu","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/viswa-niketan-higher-secondary-school,Private,,,,,
Arunima Higher Secondary School School and College,HSEB,"977-1-4478574, 4470223",aef@arunima.edu.np,http://www.arunima.edu.np/,Bauddha       ,Kathmandu,Bagmati," Arunima H S School and College PO Box: 11598 Bauddha,Kumarigal Kathmandu","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/arunima-higher-secondary-school-school-and-college,Private,,,,,
British Gurkha College,HSEB,"977-1-4017806, 4378483",bgc@graduate.org,http://www.britishgurkhacollege.com.np/,Bansbari       ,Kathmandu,Bagmati," British Gurkha College Bansbari, Kathmandu , Nepal PO Box: 8975 EPC 4139 SMS Service: Type bgc<space>info and Send to 4343","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/british-gurkha-college,Private,,,,,
LRI College,HSEB,"School:+977-1-4271188, 4278515, 4276170",,http://lrischool.edu.np/,"Kalankisthan, Kalanki       ",Kathmandu,Bagmati," Learning Realm International Higher Secondary School Kalanki, Kathmandu","Ten Plus Two Science ; 50;,Ten Plus Two Management ; 50;",http://edusanjal.com/college/lri-college,Private,,,,,
Ambition Academy Higher Secondary School,HSEB,"977- 1 -4463079, 4470880,",info@ambition.edu.np,http://ambition.edu.np/,"Old Baneshwor,         ",Kathmandu,Bagmati," Ambition Academy H S School Old Baneshwor, P O Box: 10743 Kathmandu,Nepal","Ten Plus Two Humanities ; 40;,Ten Plus Two Management ; 300;,Ten Plus Two Science ; 300;",http://edusanjal.com/college/ambition-academy-higher-secondary-school,Private,,,,,
Anupam (Unique) English BoardingHigher Secondary School,HSEB,"977-1-4427598, 4422726, 4432822",anupam@infoclub.com.np,http://www.avs.edu.np/,Lazimpat       ,Kathmandu,Bagmati," Anupam Vidya Sadan English Medium Secondary Boarding School Sakuna Marg & Kholagal Marga, Lazimpat, Kathmandu",Ten Plus Two Management,http://edusanjal.com/college/anupam-unique-english-boardinghigher-secondary-school,Private,,,,,
Ed- Mark Academy Higher Secondary School,HSEB,"977-1-4270881, 4672759",info@edmark.edu.np,http://edmark.edu.np/,Kalanki       ,Kathmandu,Bagmati," Ed-Mark Academy H S School Kalanki -14, Kathmandu","Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/ed-mark-academy-higher-secondary-school,Private,,,,,
Jubilant College,HSEB,"977-1-4272725, 4272511",info@jubilantcollege.edu.np,http://www.jubilantcollege.edu.np/,Kalimati       ,Kathmandu,Bagmati," Jubilant College GPO Box: 26234 Kalimati, Kathmandu, nepal","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/jubilant-college,Private,,,,,
Gillette Higher Secondary School,HSEB,"977-1-4279521, 4283036",info@gilletteschoolandcollege.edu.np,http://www.gilletteschoolandcollege.edu.np/,Kalimati       ,Kathmandu,Bagmati,Kalimati  Kathmandu   Bagmati,"Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities",http://edusanjal.com/college/gillette-boarding-higher-secondary-school,Private,,,,,
Navodit College,HSEB,"977-1-4352273, 4360281",info@navodit.edu.np,http://www.navodit.edu.np/,Samakhusi       ,Kathmandu,Bagmati," Navodit College and Navodit Vidhya Kunja Higher Secondary School Samakhusi, Kathmandu","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/navodit-college,Private,,,,,
Himalayan WhiteHouse International College,HSEB,"977-1-4487562, 4494138",whitehouse@mail.com.np,http://www.whitehouse.edu.np/,"Subidhanagar, Tinkune       ",Kathmandu,Bagmati,"Subidhanagar, Tinkune  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/himalayan-whitehouse-international-college,Private,,,,,
Nobel Academy,HSEB,"977-1-4781401, 4781515, 4780232",info@nobel.edu.np,http://www.nobel.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Nobel Academy GPO BOX 12160 New Baneshwor, Kathmandu","Ten Plus Two Science ; 400;,Ten Plus Two Management ; 300;",http://edusanjal.com/college/nobel-academy,Private,,,,,
Model Multiple College,HSEB,"977-41-523666, 525408",mmc.jnk@gmail.com,,        ,Dhanusa,Janakpur,Janakpur  Dhanusa   Janakpur,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/model-multiple-college,Private,,,,,
Hetauda School of Management and Social Sciences,HSEB,"977-57-524701, 524711",info@hsmonline.edu.np,http://www.hsmonline.edu.np/,Hetauda-4       ,Makwanpur,Narayani," Hetauda School of Management & Social Sciences Campus Hetauda - 4, Makawanpur, Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/hetauda-school-management-and-social-sciences,Private,,,,,
Oxbridge International Higher Secondary School/College,HSEB,977-1-5523711,info@oxbridge.edu.np,http://www.oxbridgeedufoundation.com/,"Mahalaxmisthan, Lagankhel       ",Lalitpur,Bagmati,"Oxbridge International HS School and College PO Box: 348, Lalitpur Mahalaxmisthan,Lagankhel, Lalitpur, Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/oxbridge-international-higher-secondary-schoolcollege,Private,,,,,
Nepal National Education Academy,HSEB,977-1-4356571,info@nneapt.edu.np,http://www.nneapt.edu.np/,Balaju       ,Kathmandu,Bagmati," Nepal National Education Academy (N-NEA) Banasthali Chowk, Balaju Kathmandu, Nepal P. O. BOX: 8909",Ten Plus Two Science,http://edusanjal.com/college/nepal-national-education-academy,Private,,,,,
Ullens School,HSEB,977-1-5570724,info@ullens.edu.np,http://ullens.edu.np/,Khumaltar       ,Lalitpur,Bagmati," Ullens School Khumaltar-15, Lalitpur,Nepal","Ten Plus Two Management ; 60;,Ten Plus Two Science ; 30;",http://edusanjal.com/college/ullens-school,Private,,,,,
Southwestern State College,HSEB,"977-1-4355457, 4355458",info@southwestern.edu.np,http://www.southwestern.edu.np/,Basundhara       ,Kathmandu,Bagmati," Southwestern State College Post Box: 8975 EPC 5343 Basundhara, Ring Road, Kathmandu, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/southwestern-state-college,Private,,,,,
Lumbini Adarsh Degree College,HSEB,977-78- 540405,,,kawasoti-5       ,Nawalparasi,Lumbini,kawasoti-5  Nawalparasi   Lumbini,Ten Plus Two Management,http://edusanjal.com/college/lumbini-adarsh-degree-college,Private,,,,,
Presidency College of Management Sciences,HSEB,+977-56-524278 (BBA) +977-56-525717 (10+2),info@pcms.edu.np,http://www.pcms.edu.np/,Bharatpur-10       ,Chitwan,Narayani," Presidency College of Management Sciences, Bharatpur, Chitwan",Ten Plus Two Management,http://edusanjal.com/college/presidency-college-management-sciences,Private,,,,,
Shreenagar Integrated College,HSEB,"977-075-520739, 075-521123",sicol_tansen@yahoo.com,,"Holangdi, Tansen, Buddha Bihar       ",Palpa,Lumbini,"Holangdi, Tansen, Buddha Bihar  Palpa   Lumbini","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/shreenagar-integrated-college,Private,,,,,
Unique College,HSEB,977-23- 582150,lekhnathsedai@yahoo.com,,Damak-13       ,Jhapa,Mechi,Damak-13  Jhapa   Mechi,"Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/unique-college,Private,,,,,
Classic College International,HSEB,"977-1-6225708, 4110135, 4110433",classicic@wlink.com.np,http://www.classiccollege.edu.np/,"Tinganga,         ",Kathmandu,Bagmati," Classic College International Pingla Marg, Opposite Tilganga Eye Hospital Kathmandu-9","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/classic-college-international,Private,,,,,
Bajra International College,HSEB,"977-1-2190269, 4491415",bajra@enet.com,,Jorpati       ,Kathmandu,Bagmati," For Tribhuvan University Program Bajra International College PO Box: 21726, Boudha, Jorpati, Kathmandu (Bajra Building) For HSEB Program Saraswati Higher Secondary School Under the Management of BIC Jorpati Kathmandu","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/bajra-international-college,Private,,,,,
Asian College of Higher Studies,HSEB,"977-1-5000266, 5000156",info@acm.edu.np,http://www.acm.edu.np/,Ekantakuna       ,Lalitpur,Bagmati," Asian College of Higher Studies Ekantakuna, Jwalakhel, Lalitpur",Ten Plus Two Management,http://edusanjal.com/college/asian-college-higher-studies,Private,,,,,
Kamana International College,HSEB,977-1-4880422,info@kic.edu.np,http://www.kic.edu.np/,Banasthali       ,Kathmandu,Bagmati,Banasthali  Kathmandu   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/kamana-international-college,Private,,,,,
Bright Future College,HSEB,"977-1-5534319, 5521997",nrajpaneru@hotmail.com,http://bfc.edu.np/,Satdobato       ,Lalitpur,Bagmati," Bright Future College Satdobato-15, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/bright-future-college,Private,,,,,
Himalaya College,HSEB,"977-1-4600518, 4600320",,,Koteshwor       ,Kathmandu,Bagmati," Himalaya College Koteshwor-35, Kathmandu","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/himalaya-college,Private,,,,,
Himalaya Vidya Mandir Higher Secondary School,HSEB,"977-1-4471579, 4472879",hvm@wlink.com.np,http://www.hvmschool.com/,"Siphal, Kalopul       ",Kathmandu,Bagmati,"Siphal, Kalopul  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/himalaya-vidya-mandir-higher-secondary-school,Private,,,,,
Janapriya Multiple Campus,HSEB,"977-61-522287, 531822, 535287",info@janapriya.edu.np,http://www.janapriya.edu.np/,"Pokhara,         ",Kaski,Gandaki,"Pokhara, Kaski  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/janapriya-multiple-campus,Private,,,,,
Schems College,HSEB,977-1-4017603,schemscollege@wlink.com.np,http://www.schemscollege.edu.np/,Maharajgunj       ,Kathmandu,Bagmati," Schems College School of Environmental Management and Sustainable Development Brahma Cottage, Maharajgunj, Kathmandu, Nepal GPO Box: 8975, EPC: 4009","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/schems-college,Private,,,,,
Nepal Mega College,HSEB,"977-1-4252488, 4239450",info@nepalmegacollege.com,http://www.nepalmegacollege.edu.np/,Babarmahal       ,Kathmandu,Bagmati,". Nepal Mega College GPO Box: 13325 Babarmahal, Kathmandu, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/nepal-mega-college,Private,,,,,
Zenith International College (Hetauda),HSEB,977-57-52278,zenith_college@yahoo.com,http://zenithcollegehtd.com/,Hetauda       ,Makwanpur,Narayani," Zenith International College Kantirajpath, Hetauda -4 Nepal",Ten Plus Two Management,http://edusanjal.com/college/zenith-international-college-hetauda,Private,,,,,
Aberdeen International College,HSEB,"977-1-5536298, 5530889",aberdeen.aief@gmail.com,,Jwalakhel       ,Lalitpur,Bagmati," Aberdeen International College and PTI Higher Secondary School Jawalakhel, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/aberdeen-international-college,Private,,,,,
VS Niketan Higher Secondary School,HSEB,"977-1-4622715, 4622073",info@vsniketan.edu.np,http://www.vsniketan.edu.np/,Minbhawan       ,Kathmandu,Bagmati, V.S Niketan Higher Secondary School (Under the Management of VS Education Foundation),"Ten Plus Two Management ; 200;,Ten Plus Two Science ; 320;",http://edusanjal.com/college/vs-niketan-higher-secondary-school,Private,,,,,
Ace Higher Secondary School Kathmandu,HSEB,"977-1-4474712, 4469019",ahs@ace.edu.np,http://www.ahs.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Ace Higher Secondary School GPO Box: 10001, New Baneshwor, Kathmandu, Nepal",Ten Plus Two Management ; 280;,http://edusanjal.com/college/ace-higher-secondary-school,Private,,,,,
National School of Sciences Higher Secondary School,HSEB,"977-1-4423706, 4422050, 4435408, 4429035",info@nist.edu.np,http://www.nist.edu.np/,Lainchour       ,Kathmandu,Bagmati," National School of Sciences (NSS) Faculty of Science and Management GPO Box: 8659, Lainchaur, Kathmandu","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/national-school-sciences-higher-secondary-school,Private,,,,,
Kanjirowa National Higher Secondary School,HSEB,"977-1-4601133, 4602574",kanjisl@mail.com.np,http://www.kanjisl.edu.np/,Koteshwor       ,Kathmandu,Bagmati," Kanjirowa National School Koteshwor, Near Balkumari Bridge, Kathmandu","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/kanjirowa-national-higher-secondary-school,Private,,,,,
Arniko International Academy,HSEB,977-1-5529905,info@arniko.edu.np,http://www.arniko.edu.np/,"Talchikhel, Satdobato       ",Lalitpur,Bagmati," Arniko International Academy Higher Secondary School Talchikhel, Satdobato, Lalitpur, Nepal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/arniko-international-academy,Private,,,,,
Valley Public Higher Secondary School,HSEB,"977-1-4370987, 4376672",vpbhskri@hotmail.com,http://www.vphss.edu.np/,Golfutar       ,Kathmandu,Bagmati," Valley Public Higher Secondary School Mahankal VDC, 3, Golfutar, Sundarbasti, Bhangal","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/valley-public-higher-secondary-school,Private,,,,,
Olympia World Higher Secondary School,HSEB,"977-1-4220449, 4220265",admissions@olympia.edu.np,http://www.olympia.edu.np/,Babarmahal       ,Kathmandu,Bagmati," Olympia World College and Olympia World H. S. School Babarmahal, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/olympia-world-higher-secondary-school,Private,,,,,
Rising Star College of Management,HSEB,"977-1-4273761, 4271467",com@risingstar.edu.np,http://www.risingstar.edu.np/,Bafal       ,Kathmandu,Bagmati," Rising Star College of Management Bafal, Kathmandu, Nepal Post box No: 8975, EPC: 2199",Ten Plus Two Management,http://edusanjal.com/college/rising-star-college-management,Private,,,,,
National Institute of Sciences (PATAN-NIST),HSEB,"977-1-5532854, 5528697",nispatan@wlink.com.np,http://www.nistpatan.edu.np/,Bakhundole       ,Lalitpur,Bagmati," National Institute of Sciences Bakhundole, Lalitpur (Near British School)","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/national-institute-sciences,Private,,,,,
Whitehouse Higher Secondary School,HSEB,"01-5537852, 5536741",whitehousecollege4@gmail.com,http://aitm.edu.np/,Khumaltar       ,Lalitpur,Bagmati," Whitehouse HSS and College Knowledge Village, Khumaltar Heights Satdobato, Lalitpur, Nepal","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/whitehouse-higher-secondary-school,Private,,,,,
Brooklyn College,HSEB,"977-1-4375365, 4375429",info@befnepal.org,http://www.befnepal.org/,Sukedhara       ,Kathmandu,Bagmati," Brooklyn Education Foundation Sukedhara, RingRoad, Kathmandu, Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/brooklyn-college,Private,,,,,
Baylor International Academy,HSEB,977-11-663165,info@baylor.edu.np,http://baylor.edu.np/,"Banepa-10, Godam Chowk, Kavre       ",Kavrepalanchok,Bagmati," Baylor International Academy/Dipika College Banepa-10, Godam Chowk, Kavre, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/baylor-international-academy,Private,,,,,
Takshashila Academy,HSEB,"977-1-4357332, 4354269",info@tsa.edu.np,http://www.tsa.edu.np/,Samakhusi       ,Kathmandu,Bagmati," Takshashila Academy Opposite to Radhaswami Satsang Center Samakhusi, Kathmandu,Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/takshashila-academy,Private,,,,,
Siddhartha International College,HSEB,,,,"Murli Bazar, Birgunj       ",Parsa,Narayani,"Murli Bazar, Birgunj  Parsa   Narayani","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/siddhartha-international-college,Private,,,,,
Everest Florida Higher Secondary School,HSEB,977-1-4620522/523,corporate@everestflorida.com,http://everestflorida.com/,Shantinagar Gate-34       ,Kathmandu,Bagmati," Florida Education Network Pvt. Ltd Everest Florida HSS/College Florida Building, Shantinagar Gate-34","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/everest-florida-higher-secondary-school,Private,,,,,
Shree Laligurans Rastriya Higher Secondary School/College,HSEB,"4782414, 4784628",info@laliguranscollege.edu.np,,"New Baneshwor, Shankhamul       ",Kathmandu,Bagmati,"New Baneshwor, Shankhamul  Kathmandu   Bagmati","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/shree-laligurans-rastriya-higher-secondary-schoolcollege,Private,,,,,
Angels Heart Higher Secondary School,HSEB,977-1-4027207,info@angels.edu.np,,Manamainju-2       ,Kathmandu,Bagmati,Manamainju-2  Kathmandu   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/angels-heart-higher-secondary-school,Private,,,,,
Babai Multiple Campus,HSEB,"084-420129, 421018",bmcbardiya@gmail.com,http://babaicampus.edu.np/,Gulariya       ,Bardiya,Bheri,Gulariya  Bardiya   Bheri,"Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Education",http://edusanjal.com/college/babai-multiple-campus,Private,,,,,
Arunodaya Academy Higher Secondary School,HSEB,http://arunodaya.edu.np/,,http://arunodaya.edu.np/," -15, Dallu       ",Kathmandu,Bagmati,"Kathmandu-15, Dallu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/arunodaya-academy-higher-secondary-school,Private,,,,,
AIMS College,HSEB,"071-540350, 438457",,,Butwal-11       ,Rupandehi,Lumbini," AIMS COllege of Management Rajmarg Chauraha, Butwal-11, Rupandehi",Ten Plus Two Management,http://edusanjal.com/college/aims-college,Private,,,,,
Amity College Jhapa,HSEB,"023-542762, 621257",info@amity.edu.np,http://www.amity.edu.np/,"Anarmani-3, Birtamode        ",Jhapa,Mechi,"Anarmani-3, Birtamode   Jhapa   Mechi",Ten Plus Two Management,http://edusanjal.com/college/amity-college-jhapa,Private,,,,,
Mount Annapurna Campus,HSEB,"061-532636, 522650",macpokhara@gmail.com,,"Phoolbari, Pokhara-11       ",Kaski,Gandaki,"Phoolbari, Pokhara-11  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/mount-annapurna-campus,Private,,,,,
