OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Siddhartha Multiple College,Tribhuvan University,,,,"Bafal,         ",Kathmandu,Bagmati,  Siddhartha Multiple College Bafal Kathmandu  ,Bachelor of Arts-BA,,Bachelor of Arts-BA,http://edusanjal.com/college/siddhartha-multiple-college,Public,,,,,
Central Department of Geology,Tribhuvan University,977-1-4332449,tugeology@iepl.com.np,http://tugeology.edu.np/,Kirtipur       ,Kathmandu,Bagmati,Kirtipur  Kathmandu   Bagmati,Master of Science (M.Sc) in Geology,,Master of Science (M.Sc) in Geology,http://edusanjal.com/college/central-department-of-geology,Public,,,,,
Softwarica College of IT and E Commerce,NCC Education,"977-1-4441577,4425661",info@softwarica.edu.np,http://www.softwarica.edu.np/,Dillibazar       ,Kathmandu,Bagmati,Dillibazar  Kathmandu   Bagmati,,,,http://edusanjal.com/college/softwarica-college-it-and-e-commerce,Public,,,,,
Pokhara University School of Development and Social Engineering,Pokhara University,977-61-561699,coordinator@pu.edu.np,http://pu.edu.np/university/the-school-of-development-and-social-engineering-sdse/,"Dhungepatan, Khudi, Pokhara       ",Kaski,Gandaki," Pokhara University School of Development and Social Engineering P.O. Box 427, Pokhara Dhungepatan, Khudi, Lekhnath-12, Nepal","Bachelor of Arts in Development Studies ; 48;,Master of Population, Gender and Development (MPGD),Master of Development Studies (MDEVS)",,"Bachelor of Arts in Development Studies ; 48;,Master of Population, Gender and Development (MPGD),Master of Development Studies (MDEVS)",http://edusanjal.com/college/pokhara-university-school-of-development-and-social-engineering,Public,,,,,
Pokhara University School of Health and allied Sciences,Pokhara University,"977-61-561698, 561697",director@pu.edu.np,http://pu.edu.np/university/school-of-health-allied-sciences/,"Dhungepatan, Pokhara       ",Kaski,Gandaki," Pokhara University School of Health and Allied Sciences Pokhara University Dhungepatan, Lekhnath, Nepal.","Bachelor of Public Health (BPH) ; 40;,Bachelor of Pharmacy ; 40;,Bachelor of Science in Medical Laboratory Technology (B.Sc MLT) ; 25;,Bachelor of Science (B.Sc) in Nursing ; 20;,Master of Pharmaceutical Sciences",,"Bachelor of Public Health (BPH) ; 40;,Bachelor of Pharmacy ; 40;,Bachelor of Science in Medical Laboratory Technology (B.Sc MLT) ; 25;,Bachelor of Science (B.Sc) in Nursing ; 20;,Master of Pharmaceutical Sciences",http://edusanjal.com/college/pokhara-university-school-of-health-and-allied-sciences,Public,,,,,
Pokhara University School of Engineering,Pokhara University,977-61-561698,,http://pu.edu.np/university/school-of-engineering/,Pokhara       ,Kaski,Gandaki,Pokhara  Kaski   Gandaki,"Bachelor of Civil Engineering ; 76;,Bachelor of Electrical and Electronics Engineering ; 38;",,"Bachelor of Civil Engineering ; 76;,Bachelor of Electrical and Electronics Engineering ; 38;",http://edusanjal.com/college/pokhara-university-school-of-engineering,Public,,,,,
Shanker Dev Campus,Tribhuvan University,"977-1-4226490, 4226931, 4218016 (BBA)",info@shankerdevcampus.edu.np,http://www.shankerdevcampus.edu.np/,Putalisadak       ,Kathmandu,Bagmati, Shankerdev Campus Putalisadak  ,"Master of Business Management (MBM) ; 44;,Bachelor of Information Management (BIM) ; 64;,Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",,"Master of Business Management (MBM) ; 44;,Bachelor of Information Management (BIM) ; 64;,Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Studies (BBS),Master of Business Studies (MBS)",http://edusanjal.com/college/shankerdev-campus,Public,,,,,
Greenfield National College,Tribhuvan University,01-4672553/01-6913974/01-4670816,info@greenfield.edu.np,http://www.greenfield.edu.np/,"Sitapaila,         ",Kathmandu,Bagmati," Greenfield National College(GNC) P.O.Box: 21771, ,Bafal-Sitapaila Kathmandu, Nepal ","Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/greenfield-national-college,Public,,,,,
Pokhara University School of Business,Pokhara University,977-61-561547,dean.mgmt@pu.edu.np,http://pu.edu.np/university/the-school-of-business/,"Dhungepatan, Pokhara       ",Kaski,Gandaki," School of Business Pokhara University Dhungepatan, Lekhnath  ","Bachelor of Business Administration (BBA) ; 40; ; 162300;,Master of Business Administration (MBA) ; 173450;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 162300;",,"Bachelor of Business Administration (BBA) ; 40; ; 162300;,Master of Business Administration (MBA) ; 173450;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 162300;",http://edusanjal.com/college/pokhara-university-school-of-business,Public,,,,,
Khwopa College,Tribhuvan University,977-1-6610932 6618031,info@khwopacollege.edu.np,http://www.khwopacollege.edu.np/,Dekocha-5       ,Bhaktapur,Bagmati," Khwopa College Dekocha, Bhaktapur-5 ","M.Sc in Environmental Science,Bachelor of Science (B.Sc) in Environmental Science,Master of Business Studies (MBS),Bachelor of Science (B.Sc) in Physics,Master of Arts (MA) in English,Master of Arts (MA) in Economics,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA",,"M.Sc in Environmental Science,Bachelor of Science (B.Sc) in Environmental Science,Master of Business Studies (MBS),Bachelor of Science (B.Sc) in Physics,Master of Arts (MA) in English,Master of Arts (MA) in Economics,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW),Bachelor of Arts-BA",http://edusanjal.com/college/khwopa-college,Public,,,,,
Butwal Multiple Campus,Tribhuvan University,"977-71-542834, 540134",,http://www.butwalmultiplecampus.edu.np/,Butwal       ,Rupandehi,Lumbini, Butwal Multiple Campus Butwal,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Science (B.Sc) General,Bachelor of Laws,MA Nepali,Master of Arts (MA) in English,B.Ed in Information Communication Technology",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Science (B.Sc) General,Bachelor of Laws,MA Nepali,Master of Arts (MA) in English,B.Ed in Information Communication Technology",http://edusanjal.com/college/butwal-multiple-campus,Public,,,,,
Dadeldhura Campus,Tribhuvan University,977-96-420189,,,        ,Dadeldhura,Mahakali, Dadeldhura Campus Dadeldhura,"Bachelor of Arts-BA,Bachelor of Education (B.Ed),B.Ed in Information Communication Technology",,"Bachelor of Arts-BA,Bachelor of Education (B.Ed),B.Ed in Information Communication Technology",http://edusanjal.com/college/dadeldhura-campus,Public,,,,,
Doti Multiple Campus,Tribhuvan University,"977-94-420110, 20159",,,        ,Doti,Seti," Doti Multiple Campus Doti, Nepal ","Bachelor of Arts-BA,Bachelor of Education (B.Ed),MA Nepali",,"Bachelor of Arts-BA,Bachelor of Education (B.Ed),MA Nepali",http://edusanjal.com/college/doti-multiple-campus,Public,,,,,
Tribhuvan Multiple Campus Palpa,Tribhuvan University,"075-520030, 520114, 520116",tribhuvanmc@gmail.com,,"Tansen-2, Campus Road       ",Palpa,Lumbini,"Tansen-2, Campus Road  Palpa   Lumbini","Bachelor of Business Management (BBM) ; 88;,Bachelor of Arts-BA,MA Nepali,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) General,Master of Arts (MA) in English,Master of Arts (MA) in Economics,M.Ed Education Planning and Management,M.Ed English Language Education,M.Ed Nepali Language Education,Master of Education (M.Ed) in Health Education",,"Bachelor of Business Management (BBM) ; 88;,Bachelor of Arts-BA,MA Nepali,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) General,Master of Arts (MA) in English,Master of Arts (MA) in Economics,M.Ed Education Planning and Management,M.Ed English Language Education,M.Ed Nepali Language Education,Master of Education (M.Ed) in Health Education",http://edusanjal.com/college/tribhuvan-multiple-campus-palpa,Public,,,,,
Nepal Law Campus,Tribhuvan University,977-1-4225358,info@nlc.edu.np,http://nlc.edu.np/,"Exhibition Road,         ",Kathmandu,Bagmati," Nepal Law Campus Central Department of Law, Tribhuvan University Exhibition Road Kathmandu Nepal","Bachelor of Arts Bachelor of Laws (BALLB),Master of Laws ; 50;",,"Bachelor of Arts Bachelor of Laws (BALLB),Master of Laws ; 50;",http://edusanjal.com/college/nepal-law-campus,Public,,,,,
Mahendra Multiple Campus Nepalgunj,Tribhuvan University,"977-81-520278, 525578, 520278, 520336",info@mmcampus.edu.np,http://www.mmcampus.edu.np/,Nepalgunj-13 Bhansar Road       ,Banke,Bheri, Mahendra Multiple Campus Nepalgunj,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Education (B.Ed),Bachelor of Arts-BA,Bachelor of Science (B.Sc) General,Bachelor of Laws,Master of Business Studies (MBS),MA Nepali,Master of Arts (MA) in English,MA Political Science,Master of Arts (MA) in Rural Development",,"Bachelor of Business Administration (BBA) ; 64;,Bachelor of Education (B.Ed),Bachelor of Arts-BA,Bachelor of Science (B.Sc) General,Bachelor of Laws,Master of Business Studies (MBS),MA Nepali,Master of Arts (MA) in English,MA Political Science,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/mahendra-multiple-campus-nepalgunj,Public,,,,,
Surkhet Campus,Tribhuvan University,"977-83-520298, 520125",,,        ,Surkhet,Bheri," Surkhet Education Campus Birendranagar, Surkhet","Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),Master of Education (M.Ed) General,B.Ed in Information Communication Technology",,"Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),Master of Education (M.Ed) General,B.Ed in Information Communication Technology",http://edusanjal.com/college/surkhet-campus,Public,,,,,
Mahendra Multiple Campus Baglung,Tribhuvan University,977-68-520113,,,        ,Baglung,Dhawalagiri, Mahendra Multiple Campus Baglung  ,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),MA Sociology and Anthropology,MA Nepali",,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),MA Sociology and Anthropology,MA Nepali",http://edusanjal.com/college/mahendra-multiple-campus-baglung,Public,,,,,
Bhairahawa Multiple Campus,Tribhuvan University,977-71-520205,,,Bhairahawa       ,Rupandehi,Lumbini, Bhairahawa Campus Bhairahawa  ,"Bachelor of Business Management (BBM) ; 88;,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),MA Nepali,MA Sociology and Anthropology,Master of Business Studies (MBS),Master of Education (M.Ed) in Health Education,M.Ed Curriculum and Evaluation,Bachelor of Science (B.Sc) General",,"Bachelor of Business Management (BBM) ; 88;,Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),MA Nepali,MA Sociology and Anthropology,Master of Business Studies (MBS),Master of Education (M.Ed) in Health Education,M.Ed Curriculum and Evaluation,Bachelor of Science (B.Sc) General",http://edusanjal.com/college/bhairahawa-multiple-campus,Public,,,,,
Jumla Multiple Campus,Tribhuvan University,977-87-520046,,,        ,Jumla,Karnali, Jumla Multiple Campus Jumla ,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/jumla-multiple-campus,Public,,,,,
Lamjung Campus,Tribhuvan University,977-66-529313,,http://www.iaas.edu.np/lamjung.htm,        ,Lamjung,Gandaki, Lamjung Campus Sundarbazar,Bachelor of Science (B.Sc) in Agriculture ; 52;,,Bachelor of Science (B.Sc) in Agriculture ; 52;,http://edusanjal.com/college/lamjung-campus,Public,,,,,
Paklihawa Campus,Tribhuvan University,"977-71-520191, 520580",,http://www.iaas.edu.np/paklihawa.htm,Bhairahawa       ,Rupandehi,Lumbini,Bhairahawa  Rupandehi   Lumbini,"Bachelor of Science (B.Sc) in Agriculture ; 52;,Bachelor of Veterinary Science and Animal Husbandry ; 38;",,"Bachelor of Science (B.Sc) in Agriculture ; 52;,Bachelor of Veterinary Science and Animal Husbandry ; 38;",http://edusanjal.com/college/paklihawa-campus,Public,,,,,
Ayurveda Campus,Tribhuvan University,"977-1-4332947, 4332562",,http://www.ayurvedacampus.edu.np/,Kirtipur       ,Kathmandu,Bagmati,Kirtipur  Kathmandu   Bagmati,"MD Ayurved ; 3;,Bachelor of Ayurvedic Medicine and Surgery (BAMS) ; 33;",,"MD Ayurved ; 3;,Bachelor of Ayurvedic Medicine and Surgery (BAMS) ; 33;",http://edusanjal.com/college/ayurveda-campus,Public,,,,,
Bishwo Bhasa Campus,,vishwo@biva.wlink.com.np,vishwo@biva.wlink.com.np,http://www.bishwobhasa.edu.np/,"Exhibition road,         ",Kathmandu,Bagmati," Tribhuvan University Bishwo Bhasa Campus (Campus of International Languages) Exhibition Road, Kathmandu, Nepal   ",,,,http://edusanjal.com/college/bishwo-bhasa-campus,Public,,,,,
Mahendra Ratna Campus Tahachal,Tribhuvan University,"014271709, 014271728",,http://mrctuktm.edu.np/,Tahachal       ,Kathmandu,Bagmati," Mahendra Ratna Campus Tahachal, Kathmandu","Bachelor of Education (B.Ed),Master of Education (M.Ed) General,B.Ed in Information Communication Technology",,"Bachelor of Education (B.Ed),Master of Education (M.Ed) General,B.Ed in Information Communication Technology",http://edusanjal.com/college/mahendra-ratna-campus-tahachal,Public,,,,,
Gorkha Campus,Tribhuvan University,977-64-420233,,,        ,Gorkha,Gandaki, Gorkha Campus Gorkha  ,"Bachelor of Education (B.Ed),Master of Education (M.Ed) General",,"Bachelor of Education (B.Ed),Master of Education (M.Ed) General",http://edusanjal.com/college/gorkha-campus,Public,,,,,
Public Administration Campus,Tribhuvan University,977-1-4251872,contact@pactu.edu.np,http://pactu.edu.np/,"Jamal,         ",Kathmandu,Bagmati," Jana Prashasan Campus Jamal, Kathmandu  ","Bachelor of Public Administration (BPA) ; 44;,Master of Public Administration-MPA,M-Phil in Public Administration",,"Bachelor of Public Administration (BPA) ; 44;,Master of Public Administration-MPA,M-Phil in Public Administration",http://edusanjal.com/college/public-administration-campus,Public,,,,,
Saraswati Multiple Campus,Tribhuvan University,"977-1-4412272, 4411971",,http://www.saraswaticampus.edu.np/,"Lekhnath Marg,         ",Kathmandu,Bagmati,"Lekhnath Marg, Kathmandu  Kathmandu   Bagmati","Bachelor of Arts-BA,Master of Arts (MA) in English,MA Sociology and Anthropology,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Bachelor of Business Management (BBM),Bachelor of Education (B.Ed)",,"Bachelor of Arts-BA,Master of Arts (MA) in English,MA Sociology and Anthropology,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),Bachelor of Business Management (BBM),Bachelor of Education (B.Ed)",http://edusanjal.com/college/saraswati-multiple-campus,Public,,,,,
Lalitkala Campus,Tribhuvan University,977-1-4249681,,http://lalitkalacampus.edu.np/,Bhotahity       ,Kathmandu,Bagmati, Lalit kala Campus Bhotahity  ,"Bachelor of Fine Arts (BFA),Master of Arts (MA) in Music",,"Bachelor of Fine Arts (BFA),Master of Arts (MA) in Music",http://edusanjal.com/college/lalitkala-campus,Public,,,,,
Ratna Rajya Laxmi Campus,Tribhuvan University,977-1-4225819,,,"Pradashanimarga,         ",Kathmandu,Bagmati," Ratna Rajya Laxmi Campus Pradashanimarga, Kathmandu  ","MA Nepali,Master of Arts (MA) in English,MA Sociology and Anthropology,MA in Journalism and Mass Communication,MA Population Studies,Bachelor of Arts-BA",,"MA Nepali,Master of Arts (MA) in English,MA Sociology and Anthropology,MA in Journalism and Mass Communication,MA Population Studies,Bachelor of Arts-BA",http://edusanjal.com/college/ratna-rajya-laxmi-campus,Public,,,,,
Little Step International Academy,,lsiacademy@wlink.com.np,lsiacademy@wlink.com.np,,"Simalchaur, Pokhara       ",Kaski,Gandaki,"Simalchaur, Pokhara  Kaski   Gandaki",,,,http://edusanjal.com/college/little-step-international-academy,Public,,,,,
Sushma Koirala Memorial Engineering College,CTEVT,"977 25 582712, 587410, 581052",,http://sushmagodawari.edu.np/,Itahari       ,Sunsari,Koshi," Susma Koirala Memorial Engineering College Itahari, Sunsari ","Diploma in Civil Engineering ; 48;,Diploma in Computer Engineering ; 48;",,"Diploma in Civil Engineering ; 48;,Diploma in Computer Engineering ; 48;",http://edusanjal.com/college/susma-koirala-memorial-engineering-college,Public,,,,,
Kathmandu University High School,Cambridge University,977-11-663706,kuhs@ku.edu.np,http://www.kuhs.edu.np/,"Chaukot, Banepa       ",Kavrepalanchok,Bagmati," Kathmandu University High School Chaukot, Kavre, Banepa, Nepal","GCE A level- Science,GCE A level Non-Science",,"GCE A level- Science,GCE A level Non-Science",http://edusanjal.com/college/kathmandu-university-high-school,Public,,,,,
Institute of Forestry Hetauda Campus,Tribhuvan University,"977-57-520453, 520841",,http://www.iof.edu.np/,Hetauda       ,Makwanpur,Narayani, Institute of Forestry Hetauda Campus  Hetauda  ,Bachelor of Science (B.Sc) in Forestry,,Bachelor of Science (B.Sc) in Forestry,http://edusanjal.com/college/institute-of-forestry-hetauda-campus,Public,,,,,
Gandaki Higher Secondary Boarding School,"Cambridge University,HSEB","977-61-440398, 440681",gbs@gbs.edu.np,http://gbs.edu.np/,"Lamachaur, Pokhara       ",Kaski,Gandaki,"Lamachaur, Pokhara  Kaski   Gandaki","GCE A level Non-Science,GCE A level- Science,Ten Plus Two Science",Ten Plus Two Science,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/gandaki-higher-secondary-boarding-school,Public,,,,,
Thakur Ram Multiple Campus,Tribhuvan University,"977-51-522187, 522580, 522140",,,Birgunj       ,Parsa,Narayani," Thakur Ram Multiple Campus Birgunj, Nepal  ","Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) General,Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),MA Political Science",,"Bachelor of Business Studies (BBS),Bachelor of Science (B.Sc) General,Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),MA Political Science",http://edusanjal.com/college/thakur-ram-multiple-campus,Public,,,,,
Rampur Campus,Tribhuvan University,"977-56-531813, 531814",admin@iaas.edu.np,http://www.iaas.edu.np/rampur.htm,"Rampur,         ",Chitwan,Narayani," Institute of Agriculture and Animal Science (IAAS) Rampur Campus Rampur, chitwan",,,,http://edusanjal.com/college/rampur-campus,Public,,,,,
Sanothimi Campus,Tribhuvan University,"977-1-610783, 630283, 630790",,,        ,Bhaktapur,Bagmati, Sanothimi Campus Bhaktapur ,"One year Bachelor of Education (B.Ed),M.Ed. in Information and Communication Technology Education (ICTEd),Bachelor of Education (B.Ed),M.Ed English Language Education,M.Ed Curriculum and Evaluation,M.Ed Nepali Language Education,M.Ed Education Planning and Management,Master of Education (M.Ed) in Health Education,Master of Education (M.Ed) in Economics Education,Master of Education (M.Ed) in Population Education,B.Ed in Information Communication Technology",,"One year Bachelor of Education (B.Ed),M.Ed. in Information and Communication Technology Education (ICTEd),Bachelor of Education (B.Ed),M.Ed English Language Education,M.Ed Curriculum and Evaluation,M.Ed Nepali Language Education,M.Ed Education Planning and Management,Master of Education (M.Ed) in Health Education,Master of Education (M.Ed) in Economics Education,Master of Education (M.Ed) in Population Education,B.Ed in Information Communication Technology",http://edusanjal.com/college/sanothimi-campus,Public,,,,,
Kathmandu International Study Centre,,admin@kisc.edu.np,admin@kisc.edu.np,http://www.kisc.edu.np/,"Dhobighat,         ",Lalitpur,Bagmati," Kathmandu International Study Centre PO Box: 2714 Dhobighat, Kathmandu Nepal",,,,http://edusanjal.com/college/kathmandu-international-study-centre,Public,,,,,
Modern Kanya Multiple Collegea,"HSEB,Tribhuvan University","977-1-4469712, 4490647",mkmcollege_@hotmail.com,http://modernkanya.com/,"Bhinsengola, Baneshwor,         ",Kathmandu,Bagmati," Modern Kanya Multiple College Bhimsengola, Baneshwor  ","Ten Plus Two Management,Ten Plus Two Humanities,Bachelor of Business Studies (BBS),Bachelor of Arts-BA","Ten Plus Two Management,Ten Plus Two Humanities","Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/modern-kanya-multiple-college,Public,,,,,
little Heaven Higher Secondary School,HSEB,977-82-520230,,,Tulsipur       ,Dang-Deukhuri,Rapti," Little Heaven H S School Tulsipur-5, Dang  ",,,,http://edusanjal.com/college/little-heaven-higher-secondary-school,Public,,,,,
International Institute of Information Technology,,icit_bhu@yahoo.com,icit_bhu@yahoo.com,,Birgunj       ,Parsa,Narayani,"  International Institute of Information Technology, Chhapkiya, Birjung Parsha, ",,,,http://edusanjal.com/college/international-institute-information-technology,Public,,,,,
Institute of Banking and Management Studies,Bharathiar university,977-1-4259955,info@ibmstudies.com.np,http://www.ibmstudies.com.np/,"Bagbazar,         ",Kathmandu,Bagmati," Institute of Banking & Management Studies ( IBMS College) Yeti Plaza, IBM Opposite- P.K College",,,,http://edusanjal.com/college/institute-banking-and-management-studies,Public,,,,,
"Adarsh Higher Secondary School, Nepalgunj",HSEB,977 - 81 - 526194,adarshschoolnepalgunj@gmail.com,http://www.adarshschool.edu.np/,"Surkhet Road, Nepalgunj       ",Banke,Bheri,"Surkhet Road, Nepalgunj  Banke   Bheri","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/adarsh-higher-secondary-school,Public,,,,,
Tulsi aawasiya Higher Secondary School,HSEB,,,,Tulsipur       ,Dang-Deukhuri,Rapti, Tulsi Aawasiya Higher Secondary School Tulsipur Dang,,,,http://edusanjal.com/college/tulsi-aawasiya-higher-secondary-school,Public,,,,,
Valley College of Engineering,CTEVT,977-1-4602474,,,        ,Kathmandu,Bagmati,Kathmandu  Kathmandu   Bagmati,Diploma in Civil Engineering ; 48;,,Diploma in Civil Engineering ; 48;,http://edusanjal.com/college/valley-college-of-engineering,Public,,,,,
IEC College of Art and Fashion,Vinayaka Missions University,977-1-4432216 / 4432396,info@ieccollege.com.np,http://ieccollege.com.np/,"Near Krishna Mandir, Chandol       ",Kathmandu,Bagmati,"Near Krishna Mandir, Chandol  Kathmandu   Bagmati","Bachelor in Fashion Design (BFD),Bachelor in Interior Design (BID)",,"Bachelor in Fashion Design (BFD),Bachelor in Interior Design (BID)",http://edusanjal.com/college/iec-college-art-and-fashion,Public,,,,,
Janakpur Engineering College Janakpur,CTEVT,,,,        ,Dhanusa,Janakpur,Janakpur  Dhanusa   Janakpur,"Diploma in Computer Engineering ; 48;,Bachelor of Civil Engineering ; 96;,Bachelor of Computer Engineering ; 24;,Bachelor of Electronics and Communication Engineering ; 48;",,"Diploma in Computer Engineering ; 48;,Bachelor of Civil Engineering ; 96;,Bachelor of Computer Engineering ; 24;,Bachelor of Electronics and Communication Engineering ; 48;",http://edusanjal.com/college/janakpur-engineering-college-janakpur,Public,,,,,
Purbanchal University School of Engineering and Technology,Purbanchal University,"977-21-461270, 462179, 460607",puset@ntc.net.np,http://www.puset.edu.np/,Biratnagar       ,Morang,Koshi," Purbanchal University School of Engineering & Technology, Kanchanbari, Biratnagar","Bachelor of Civil Engineering ; 48;,Bachelor of Electronics & Communication Engineering ; 60;,Bachelor of Computer Engineering ; 60;,Bachelor of Information Technology (BIT) ; 30;,Master of Computer Application ; 30;,Post Graduate Diploma in Computer Application ; 30;,Bachelor of Computer Application (BCA)",,"Bachelor of Civil Engineering ; 48;,Bachelor of Electronics & Communication Engineering ; 60;,Bachelor of Computer Engineering ; 60;,Bachelor of Information Technology (BIT) ; 30;,Master of Computer Application ; 30;,Post Graduate Diploma in Computer Application ; 30;,Bachelor of Computer Application (BCA)",http://edusanjal.com/college/purbanchal-university-school-engineering-and-technology,Public,,,,,
Janata Campus Morang,"HSEB,Tribhuvan University",021-580324,,,"Rangeli,         ",Morang,Koshi,"Rangeli, Morang  Morang   Koshi","Ten Plus Two Management,Ten Plus Two Education,Bachelor of Business Studies (BBS)","Ten Plus Two Management,Ten Plus Two Education",Bachelor of Business Studies (BBS),http://edusanjal.com/college/janata-campus-morang,Public,,,,,
Samaj School of Dentistry,CTEVT,"977-1-4464444, 4470658, 4492136",,http://www.irds-samaj.org/samaj_school_of_dentistry.php,"New Baneshwor,         ",Kathmandu,Bagmati," Samaj School of Dentistry New Baneshwor, Mahakal ",Certificate in Dental Science (Dental Hygeine) ; 40;,,Certificate in Dental Science (Dental Hygeine) ; 40;,http://edusanjal.com/college/samaj-school-dentistry,Public,,,,,
IATA Hospitality Management College,Sikkim Manipal University,"977-1-4266611, 4254104/06, 4233192",info@iataacademy.com,http://iataacademy.com/index.html,"Kantipath,         ",Kathmandu,Bagmati," IATA Hospitality Management College Kantipath, Kathmandu ",,,,http://edusanjal.com/college/iata-hospitality-management-college,Public,,,,,
International Center for Academics,Indira Gandhi National Open University,"977-1-4430126, 2239678, 4445540, 4413104",ica@ica.edu.np,http://www.ica.edu.np/,"Gyaneshwar,         ",Kathmandu,Bagmati," International Center for Academics College of Distance Education and Online Studies Gyaneshwor, Kathmandu Nepal. ",,,,http://edusanjal.com/college/international-center-academics,Public,,,,,
Kantipur Academy (Institute) of Health Science,CTEVT,"977-1-4461609, 4111627,",info@kantipuracademyhs.com,http://www.kantipuracademyhs.com/,Tinkune       ,Kathmandu,Bagmati," Kantipur Academy (Institute) of Health Science Kantipur Hospital, Subidhanagar, Tinkune Kathmandu  ","Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;",,"Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;",http://edusanjal.com/college/kantipur-academy-institute-of-health-science,Public,,,,,
Precious National Academy/College,HSEB,"977-1-4353622, 4353290",pnc@enet.com.np,http://pnc.edu.np/,"Mhepi, Balaju       ",Kathmandu,Bagmati," Precious National Academy Higher Secondary School or Precious National College Mhepi, Balaju, Kathmandu  ",,,,http://edusanjal.com/college/precious-national-academycollege,Public,,,,,
Dang Valley Higher Secondary School,HSEB,,,,"Ghorahi, Dang       ",Dang-Deukhuri,Rapti," Dang Valley Higher Secondary School Ghorahi, Dang  ","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/dang-valley-higher-secondary-school,Public,,,,,
Diamond Higher Secondary School,HSEB,977-61-560146,info@diamondhss.edu.np,http://www.diamondhss.edu.np/,"Lekhnath-7, Talchowk, Pokhara       ",Kaski,Gandaki,"Lekhnath-7, Talchowk, Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/diamond-higher-secondary-school,Public,,,,,
Great Aaraniko Higher Secondary School Dang,HSEB,,,,Tulsipur       ,Dang-Deukhuri,Rapti," Great Aaraniko Higher Secondary School Tulsipur, Dang  ",,,,http://edusanjal.com/college/great-aaraniko-higher-secondary-school,Public,,,,,
Sirjana Residential Higher Secondary School,HSEB,977- 61-560466,info@deafschool.edu.np,http://www.deafschool.edu.np/,        ,Kaski,Gandaki," Sirjana Residential Higher Secondary School for the Deaf Lekhnath-3,Arghaun, Kaski, Nepal.",,,,http://edusanjal.com/college/sirjana-residential-higher-secondary-school,Public,,,,,
