OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Surya Bhatka Patanadevi Memorial College,Tribhuvan University,"056-501079, 693309",,,"Gaindakot-2,         ",Nawalparasi,Lumbini,"Gaindakot-2, Nawalparasi  Nawalparasi   Lumbini","Bachelor of Education (B.Ed),Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/surya-bhatka-patanadevi-memorial-college,Public,,,,,
Birendra Shiksha Campus,Tribhuvan University,071-697236,,,"Mareng,         ",Arghakhanchi,Lumbini,"Mareng, Arghakhanchi  Arghakhanchi   Lumbini",Bachelor of Education (B.Ed),http://edusanjal.com/college/birendra-shiksha-campus,Public,,,,,
Amar Campus,Tribhuvan University,9758500941,,,"Bhingri,         ",Pyuthan,Rapti,"Bhingri, Pyuthan  Pyuthan   Rapti",Bachelor of Education (B.Ed),http://edusanjal.com/college/amar-campus,Public,,,,,
Musikot Khalanga Multiple Campus,Tribhuvan University,088-680306,,,Khalanga       ,Rukum,Rapti,Khalanga  Rukum   Rapti,"Bachelor of Arts-BA,Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),Master of Education (M.Ed) General",http://edusanjal.com/college/musikot-khalanga-multiple-campus,Public,,,,,
Suryathum Multiple Campus,Tribhuvan University,984722099,,,"Mareng,         ",Arghakhanchi,Lumbini,"Mareng, Arghakhanchi  Arghakhanchi   Lumbini",Bachelor of Education (B.Ed),http://edusanjal.com/college/suryathum-multiple-campus,Public,,,,,
Harihar Shiksha Campus,Tribhuvan University,974701203,,,"Khidim, Pokharathok, Arghkhachi       ",Arghakhanchi,Lumbini,"Khidim, Pokharathok, Arghkhachi  Arghakhanchi   Lumbini","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/harihar-shiksha-campus,Public,,,,,
Rara Campus,Tribhuvan University,087-690368,,,"Ramgadhi,         ",Mugu,Karnali,"Ramgadhi, Mugu  Mugu   Karnali","Bachelor of Education (B.Ed),Bachelor of Arts-BA",http://edusanjal.com/college/rara-campus,Public,,,,,
Bajura Campus,Tribhuvan University,9848437208,,,"Martadi,         ",Bajura,Seti,"Martadi, Bajura  Bajura   Seti","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/bajura-campus,Public,,,,,
Budhinanda Campus,Tribhuvan University,097-680275,,,"Kolti,         ",Bajura,Seti,"Kolti, Bajura  Bajura   Seti",Bachelor of Arts-BA,http://edusanjal.com/college/budhinanda-campus,Public,,,,,
Dronachal Education Campus,Tribhuvan University,"089-429514, 9748017442",,,"Dullu,         ",Dailekh,Bheri,"Dullu, Dailekh  Dailekh   Bheri",Bachelor of Education (B.Ed),http://edusanjal.com/college/dronachal-education-campus,Public,,,,,
Gyanodaya Multiple Public Campus,Tribhuvan University,,,,"Khajura,         ",Banke,Bheri,"Khajura, Banke  Banke   Bheri",Bachelor of Education (B.Ed),http://edusanjal.com/college/gyanodaya-multiple-public-campus,Public,,,,,
Badimalika Campus,Tribhuvan University,"097-680144, 9741056164",,,"Naubis,         ",Bajura,Seti,"Naubis, Bajura  Bajura   Seti","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/badimalika-campus,Public,,,,,
Deukhuri Multiple Campus,Tribhuvan University,082-540216,,,Lamahi Deukhuri       ,Dang-Deukhuri,Rapti,Lamahi Deukhuri  Dang-Deukhuri   Rapti,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/deukhuri-multiple-campus,Public,,,,,
Amar Shahid Multiple Campus,Tribhuvan University,084-460103,,,"Rajapur,         ",Bardiya,Bheri,"Rajapur, Bardiya  Bardiya   Bheri","Bachelor of Arts-BA,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/amar-shahid-multiple-campus,Public,,,,,
Laxmi Samudaik Multiple Campus,Tribhuvan University,9758001388,,,"Kachanapur,         ",Banke,Bheri,"Kachanapur, Banke  Banke   Bheri",Bachelor of Business Studies (BBS),http://edusanjal.com/college/laxmi-samudaik-multiple-campus,Public,,,,,
Rapti Babai Campus,Tribhuvan University,"082-520316, 522726",,,Tulsipur Dang       ,Dang-Deukhuri,Rapti,Tulsipur Dang  Dang-Deukhuri   Rapti,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Education (M.Ed) General,Master of Business Studies (MBS)",http://edusanjal.com/college/rapti-babai-campus,Public,,,,,
Panchadewal Campus,Tribhuvan University,9748005088,,,"Binayak,         ",Achham,Seti,"Binayak, Achham  Achham   Seti",Bachelor of Education (B.Ed),http://edusanjal.com/college/panchadewal-campus,Public,,,,,
Sunkuda Campus,Tribhuvan University,092-690416,,,"Sunkuda chir,         ",Bajhang,Seti,"Sunkuda chir, Bajhang  Bajhang   Seti",Bachelor of Education (B.Ed),http://edusanjal.com/college/sunkuda-campus,Public,,,,,
Tripura Sudari Campus,Tribhuvan University,9748005088,,,"Jalpadevi Shreekot,         ",Achham,Seti,"Jalpadevi Shreekot, Achham  Achham   Seti","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Bachelor of Arts-BA",http://edusanjal.com/college/tripura-sudari-campus,Public,,,,,
Shanti Aadarsha Campus,Tribhuvan University,092-690223,,,"Chaudhanpatan Byasi,         ",Bajhang,Seti,"Chaudhanpatan Byasi, Bajhang  Bajhang   Seti",Bachelor of Education (B.Ed),http://edusanjal.com/college/shanti-aadarsha-campus,Public,,,,,
Seti Campus,Tribhuvan University,,,,"Matela,         ",Bajhang,Seti,"Matela, Bajhang  Bajhang   Seti",Bachelor of Education (B.Ed),http://edusanjal.com/college/seti-campus,Public,,,,,
Thalara Multiple Campus,Tribhuvan University,9759001226,,,"Thalara,         ",Bajhang,Seti,"Thalara, Bajhang  Bajhang   Seti",Bachelor of Education (B.Ed),http://edusanjal.com/college/thalara-multiple-campus,Public,,,,,
Jaya Prithvi Multiple Campus,Tribhuvan University,092-421075,,,Bhopur       ,Bajhang,Seti,Bhopur  Bajhang   Seti,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Arts (MA) in Rural Development",http://edusanjal.com/college/jaya-prithvi-multiple-campus,Public,,,,,
Rastriya Campus,Tribhuvan University,,,,"Datt,         ",Darchula,Mahakali,"Datt, Darchula  Darchula   Mahakali",Bachelor of Education (B.Ed),http://edusanjal.com/college/rastriya-campus,Public,,,,,
Lamki Multiple Campus,Tribhuvan University,091-540462,,,"Lamki,         ",Kailali,Seti,"Lamki, Kailali  Kailali   Seti","Bachelor of Business Studies (BBS),Bachelor of Arts-BA,Bachelor of Education (B.Ed)",http://edusanjal.com/college/lamki-multiple-campus,Public,,,,,
Ghoda Ghodi Multiple Campus,Tribhuvan University,9741074074,,,"Sukhad KailaliGhodaghodi Multiple Campus is located in Sukhad,  . With affiliation from Tribh       ",Kailali,Seti,"Sukhad KailaliGhodaghodi Multiple Campus is located in Sukhad, Kailali. With affiliation from Tribh  Kailali   Seti","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/ghoda-ghodi-multiple-campus,Public,,,,,
Rauleshwar Janta Aadarsh Multiple Campus,Tribhuvan University,9759502223,,,"Beldandi,         ",Kanchanpur,Mahakali,"Beldandi, Kanchanpur  Kanchanpur   Mahakali",Bachelor of Education (B.Ed),http://edusanjal.com/college/rauleshwar-janta-aadarsh-multiple-campus,Public,,,,,
Kanchan Multiple Campus,Tribhuvan University,091-691051,,,"Krishnapur,         ",Kanchanpur,Mahakali,"Krishnapur, Kanchanpur  Kanchanpur   Mahakali","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/kanchan-multiple-campus,Public,,,,,
Bhanu Multiple Campus,Tribhuvan University,"099-691216, 9759502269",,,"Dodhara Chadani,         ",Kanchanpur,Mahakali,"Dodhara Chadani, Kanchanpur  Kanchanpur   Mahakali","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/bhanu-multiple-campus,Public,,,,,
Khaptad Multiple Campus,Tribhuvan University,091-69153,,,"Masuriya,         ",Kailali,Seti,"Masuriya, Kailali  Kailali   Seti","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/khaptad-multiple-campus,Public,,,,,
Mahakali Multiple Campus,Tribhuvan University,099-580197,,,"Shreepur, Belauri       ",Kanchanpur,Mahakali,"Shreepur, Belauri  Kanchanpur   Mahakali","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/mahakali-multiple-campus,Public,,,,,
Birendra Vidhya Mandir Multiple Campus,Tribhuvan University,091-560220,,,"Tikapur,         ",Kailali,Seti,"Tikapur, Kailali  Kailali   Seti","Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/birendra-vidhya-mandir-multiple-campus,Public,,,,,
Triveni Multiple Campus,Tribhuvan University,096-690472,,,Jogbudha       ,Dadeldhura,Mahakali,Jogbudha  Dadeldhura   Mahakali,Bachelor of Business Studies (BBS),http://edusanjal.com/college/triveni-multiple-campus,Public,,,,,
Purachaudi Multiple Campus,Tribhuvan University,,,,"Hata,         ",Baitadi,Mahakali,"Hata, Baitadi  Baitadi   Mahakali",Bachelor of Education (B.Ed),http://edusanjal.com/college/puchoundi-multiple-campus,Public,,,,,
Raghunath Aadarsha Multiple Campus,Tribhuvan University,091-621020,,,"Baunia,         ",Kailali,Seti,"Baunia, Kailali  Kailali   Seti","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/raghunath-aadarsha-multiple-campus,Public,,,,,
Jagannath Multiple Campus,Tribhuvan University,"095-520170, 20570",,,"Gothalapani,         ",Baitadi,Mahakali,"Gothalapani, Baitadi  Baitadi   Mahakali","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),Master of Education (M.Ed) General",http://edusanjal.com/college/jagannath-multiple-campus,Public,,,,,
Phulbari Campus,Tribhuvan University,,,,"Phulbari 5,        ",Baitadi,Mahakali,"Phulbari 5,Baitadi  Baitadi   Mahakali","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/phulbari-campus,Public,,,,,
Manilek Campus,Tribhuvan University,,,,"Kanda Melauli,        ",Baitadi,Mahakali,"Kanda Melauli,Baitadi  Baitadi   Mahakali","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/manilek-campus,Public,,,,,
Bansgadhi Multiple Campus,Tribhuvan University,,,,"Motipur,         ",Bardiya,Bheri,"Motipur, Bardiya  Bardiya   Bheri",Bachelor of Education (B.Ed),http://edusanjal.com/college/bansgadhi-multiple-campus,Public,,,,,
Shree Krishna Snatak Campus,Tribhuvan University,093-690285,,,"Lahi,         ",Darchula,Mahakali,"Lahi, Darchula  Darchula   Mahakali",Bachelor of Education (B.Ed),http://edusanjal.com/college/shree-krishna-snatak-campus,Public,,,,,
Gokuleshwar Multiple Campus,Tribhuvan University,099-692096,,,"Gokuleshwar,         ",Darchula,Mahakali,"Gokuleshwar, Darchula  Darchula   Mahakali","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/gokuleshwar-multiple-campus,Public,,,,,
Darchula Multiple Campus,Tribhuvan University,092-521075,,,"Khalanga,         ",Darchula,Mahakali,"Khalanga, Darchula  Darchula   Mahakali","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed)",http://edusanjal.com/college/darchula-multiple-campus,Public,,,,,
Baitadi Shiksha Campus,Tribhuvan University,,,,"Dasharath Chand N.P.1,Shahilek       ",Baitadi,Mahakali,"Dasharath Chand N.P.1,Shahilek  Baitadi   Mahakali",Bachelor of Education (B.Ed),http://edusanjal.com/college/baitadi-shiksha-campus,Public,,,,,
Patan Multiple Campus Baitadi,Tribhuvan University,095-690728,,,"Patan,         ",Baitadi,Mahakali,"Patan, Baitadi  Baitadi   Mahakali","Bachelor of Arts-BA,Bachelor of Education (B.Ed)",http://edusanjal.com/college/patan-multiple-campus-baitadi,Public,,,,,
Nikunj Madhyawati Multiple Campus,Tribhuvan University,,,,"Neulapur,         ",Bardiya,Bheri,"Neulapur, Bardiya  Bardiya   Bheri","Bachelor of Arts-BA,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/nikunj-madhyawati-multiple-campus,Public,,,,,
Kailash Campus,Tribhuvan University,,,,"Kalagaun 3,         ",Achham,Seti,"Kalagaun 3, Achham  Achham   Seti","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/kailash-campus,Public,,,,,
Gadhimai Multiple Campus,Tribhuvan University,,,,"Gadhimai, Bariyarpur,        ",Bara,Narayani,"Gadhimai, Bariyarpur,Bara  Bara   Narayani",Bachelor of Education (B.Ed),http://edusanjal.com/college/gadhimai-multiple-campus,Public,,,,,
Dignity College,Tribhuvan University,068-522720,,http://dignitycollege.edu.np/,"  Bazar,          ",Baglung,Dhawalagiri,"Baglung Bazar, Baglung   Baglung   Dhawalagiri",Bachelor of Business Studies (BBS),http://edusanjal.com/college/dignity-college,Public,,,,,
Krishna Gandaki Campus,Tribhuvan University,,,,"Narayansthan Balewa,         ",Baglung,Dhawalagiri,"Narayansthan Balewa, Baglung  Baglung   Dhawalagiri",Bachelor of Business Studies (BBS),http://edusanjal.com/college/krishna-gandaki-campus,Public,,,,,
Mount Everest College,Tribhuvan University,,,,"Simara,         ",Bara,Narayani,"Simara, Bara  Bara   Narayani",Bachelor of Business Studies (BBS),http://edusanjal.com/college/mount-everest-college,Public,,,,,
College of Management,Tribhuvan University,081-523253,,,"Nepalgunj,         ",Banke,Bheri,"Nepalgunj, Banke  Banke   Bheri",Bachelor of Business Studies (BBS),http://edusanjal.com/college/college-management,Public,,,,,
Banke Education Campus,Tribhuvan University,,,,"Nepalgunj,         ",Banke,Bheri,"Nepalgunj, Banke  Banke   Bheri",Bachelor of Education (B.Ed),http://edusanjal.com/college/banke-education-campus,Public,,,,,
Arghakhanchi Shiksha Campus,Tribhuvan University,974701203,,,"Sandhikharka, Belbatika         ",Arghakhanchi,Lumbini,"Sandhikharka, Belbatika Arghakhanchi  Arghakhanchi   Lumbini",Bachelor of Education (B.Ed),http://edusanjal.com/college/arghakhanchi-shiksha-campus,Public,,,,,
Janta Campus Achham,Tribhuvan University,097-690158,,,"Bayalpata,         ",Achham,Seti,"Bayalpata, Achham  Achham   Seti","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/janta-campus-achham,Public,,,,,
Panini Campus,Tribhuvan University,077-420582,,,"Chutrabesi,         ",Arghakhanchi,Lumbini,"Chutrabesi, Arghakhanchi  Arghakhanchi   Lumbini","Bachelor of Education (B.Ed),Bachelor of Arts-BA,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/panini-campus,Public,,,,,
Bageshwori Academy,Tribhuvan University,977-81541663,info@baemss.edu.np,http://baemss.edu.np/,"Kohalpur,         ",Banke,Bheri,"Kohalpur, Banke  Banke   Bheri","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/bageshwori-academy,Public,,,,,
Saraswoti Sanskrit vidyapeeth,Nepal Sanskrit University,,,,"Manigram,         ",Rupandehi,Lumbini,"Manigram, Rupandehi  Rupandehi   Lumbini","Uttar Madhyama,Shastri",http://edusanjal.com/college/saraswoti-sanskrit-vidyapeeth,Public,,,,,
Mahesh sanskrit Gurukulam Vidhyapeeth,Nepal Sanskrit University,056-620426,,,Devghatm         ,Tanahu,Gandaki,Devghatm Tanahu  Tanahu   Gandaki,"Acharya,Shastri,Uttar Madhyama",http://edusanjal.com/college/mahesh-sanskrit-gurukulam-vidhyapeeth,Public,,,,,
Radhadamodar Sanskrit Vidyapeeth,Nepal Sanskrit University,063-429302,,,"Keladighat,         ",Syangja,Gandaki,"Keladighat, Syangja  Syangja   Gandaki","Shastri,Uttar Madhyama",http://edusanjal.com/college/radhadamodar-sanskrit-vidyapeeth,Public,,,,,
Simara College,Tribhuvan University,053-520038,,,"Simara,         ",Bara,Narayani,"Simara, Bara  Bara   Narayani","Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/simara-college,Public,,,,,
Paramananda Sanskrit Gurukulam Vidyapeeth,Nepal Sanskrit University,,,,"Devghat,         ",Tanahu,Gandaki,"Devghat, Tanahu  Tanahu   Gandaki",Shastri,http://edusanjal.com/college/paramananda-sanskrit-gurukulam-vidyapeeth,Public,,,,,
Sanskrit Vidyapeeth,Nepal Sanskrit University,025-520716,,,"Dharan,         ",Sunsari,Koshi,"Dharan, Sunsari  Sunsari   Koshi",Uttar Madhyama,http://edusanjal.com/college/sanskrit-vidyapeeth,Public,,,,,
Vinduvasini Sanskrit Vidyapeeth,Nepal Sanskrit University,977-61- 523352,vinduvasiniv@nsu.edu.np,,"Bhimkali, Pokhara       ",Kaski,Gandaki,"Bhimkali, Pokhara  Kaski   Gandaki","Shastri,Uttar Madhyama",http://edusanjal.com/college/vinduvasini-sanskrit-vidyapeeth,Public,,,,,
kalika Sanskrit Vidyapeeth,Nepal Sanskrit University,kalikav@nsu.edu.np,kalikav@nsu.edu.np,,"Gaidakot,          ",Nawalparasi,Lumbini,"Gaidakot, Nawalparasi   Nawalparasi   Lumbini","Shastri,Uttar Madhyama",http://edusanjal.com/college/kalika-sanskrit-vidyapeeth,Public,,,,,
Pindeshwor Vidyapeeth,Nepal Sanskrit University,977-25-520285,pindeshworv@nsu.edu.np,," , Dharan        ",Sunsari,Koshi,"Sunsari, Dharan   Sunsari   Koshi","Uttar Madhyama,Acharya",http://edusanjal.com/college/pindeshwor-vidyapeeth,Public,,,,,
Valmeeki Vidyapeeth,Nepal Sanskrit University,977-1-4227193,valmeekiv@nsu.edu.np,,"Exhibition Road ,          ",Kathmandu,Bagmati,"Exhibition Road , Kathmandu   Kathmandu   Bagmati","Uttar Madhyama,Shastri",http://edusanjal.com/college/valmeeki-vidyapeeth,Public,,,,,
Bhanu Sanskrit Vidyapeeth,Nepal Sanskrit University,977-65-690581,bhanuv@nsu.edu.np,,"Chudi,          ",Tanahu,Gandaki,"Chudi, Tanahu   Tanahu   Gandaki",Uttar Madhyama,http://edusanjal.com/college/bhanu-sanskrit-vidyapeeth,Public,,,,,
University Vidyapeeth,Nepal Sanskrit University,977-82-400022,university@nsu.edu.np,,"Beljhundi, Dang       ",Dang-Deukhuri,Rapti,"Beljhundi, Dang  Dang-Deukhuri   Rapti",Acharya,http://edusanjal.com/college/university-vidyapeeth,Public,,,,,
Janata Sanskrit Vidyapeeth,Nepal Sanskrit University,977-1-227193,valmeekiv@nsu.edu.np,,Bijauri Dang        ,Dang-Deukhuri,Rapti,Bijauri Dang   Dang-Deukhuri   Rapti,"One Year Bachelor of Education (B.Ed),Uttar Madhyama,Shastri",http://edusanjal.com/college/janata-sanskrit-vidyapeeth,Public,,,,,
Hairhar Sanskrit Vidyapeeth,Nepal Sanskrit University,hariharv@nsu.edu.np,hariharv@nsu.edu.np,,"Khidim,         ",Arghakhanchi,Lumbini,"Khidim,Arghakhanchi   Arghakhanchi   Lumbini",Uttar Madhyama,http://edusanjal.com/college/hairhar-sanskrit-vidyapeeth,Public,,,,,
Sharada Sanskrit Vidyapeeth,Nepal Sanskrit University,977-99-521061,sharadav@nsu.edu.np,,Mahendranagar       ,Kanchanpur,Mahakali,Mahendranagar  Kanchanpur   Mahakali,"One Year Bachelor of Education (B.Ed),Uttar Madhyama,Shastri",http://edusanjal.com/college/sharada-sanskrit-vidyapeeth,Public,,,,,
RuRu Sanskrit Vidyapeeth,Nepal Sanskrit University,079-400032,ruruv@nsu.edu.np,,"Ridi,          ",Gulmi,Lumbini,"Ridi, Gulmi   Gulmi   Lumbini","Uttar Madhyama,Shastri",http://edusanjal.com/college/ruru-sanskrit-vidyapeeth,Public,,,,,
Hyatrung Jharana Campus,Tribhuvan University,,,,Tehrathum       ,Terhathum,Koshi,Tehrathum  Terhathum   Koshi,Bachelor of Education (B.Ed),http://edusanjal.com/college/hyatrung-jharana-campus,Public,,,,,
Yjnayavalkya Lakshminarayan Vidyapeeth,Nepal Sanskrit University,977-44-540132,yalanav@nsu.edu.np,,Matihan       ,Mahottari,Janakpur,Matihan  Mahottari   Janakpur,"Shastri,Uttar Madhyama",http://edusanjal.com/college/yjnayavalkya-lakshminarayan-vidyapeeth,Public,,,,,
Udayashree Campus,Tribhuvan University,,,,"Katari,         ",Udayapur,Sagarmatha,"Katari, Udayapur  Udayapur   Sagarmatha","Bachelor of Arts-BA,Bachelor of Education (B.Ed)",http://edusanjal.com/college/udayashree-campus,Public,,,,,
B.P.koirala Sanskrit Vidyapeeth,Nepal Sanskrit University,977-38-690169,bpsoluv@nsu.edu.np,,"Salleri,          ",Solukhumbu,Sagarmatha,"Salleri, Solukhumbu   Solukhumbu   Sagarmatha",Uttar Madhyama,http://edusanjal.com/college/bpkoirala-sanskrit-vidyapeeth,Public,,,,,
Janak Hajari Vidyapeeth,Nepal Sanskrit University,977-82-400022,university@nsu.edu.np,,Janakpurdham       ,Dhanusa,Janakpur,Janakpurdham  Dhanusa   Janakpur,Acharya,http://edusanjal.com/college/janak-hajari-vidyapeeth,Public,,,,,
Sinam Multiple Campus,Tribhuvan University,024-690363,,,        ,Taplejung,Mechi,Taplejung  Taplejung   Mechi,"Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/sinam-multiple-campus,Public,,,,,
Triyuga Janta Campus,Tribhuvan University,035-42143 035-690585,,,"Ghaighat, Udaypur       ",Udayapur,Sagarmatha,"Ghaighat, Udaypur  Udayapur   Sagarmatha","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),One year Bachelor of Education (B.Ed),B.Ed in Information Communication Technology",http://edusanjal.com/college/triyuga-janta-campus,Public,,,,,
Baruwa Campus,Tribhuvan University,,,,"Gaighat,        ",Udayapur,Sagarmatha,"Gaighat,Udayapur  Udayapur   Sagarmatha",Bachelor of Business Studies (BBS),http://edusanjal.com/college/baruwa-campus,Public,,,,,
Shree Narad Adarsh Education Campus,Tribhuvan University,,,,"Basaha,        ",Udayapur,Sagarmatha,"Basaha,Udayapur  Udayapur   Sagarmatha",Bachelor of Education (B.Ed),http://edusanjal.com/college/shree-narad-adarsh-education-campus,Public,,,,,
Dharan City College,Tribhuvan University,,,,Dharan         ,Sunsari,Koshi,Dharan Sunsari  Sunsari   Koshi,Bachelor of Business Studies (BBS),http://edusanjal.com/college/dharan-city-college,Public,,,,,
Rabi Campus,Tribhuvan University,9742037101,,,"Rabi , Panchathar       ",Panchthar,Mechi,"Rabi , Panchathar  Panchthar   Mechi",Bachelor of Education (B.Ed),http://edusanjal.com/college/rabi-campus,Public,,,,,
Shanishchare Multiple Campus,Tribhuvan University,023-465388,,,"Shanishchare,         ",Jhapa,Mechi,"Shanishchare, Jhapa  Jhapa   Mechi","Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/shanishchare-multiple-campus,Public,,,,,
Khotang Campus,Tribhuvan University,036-690125,,,  Bazar       ,Khotang,Sagarmatha,Khotang Bazar  Khotang   Sagarmatha,Bachelor of Education (B.Ed),http://edusanjal.com/college/khotang-campus,Public,,,,,
Belbari Multiple Campus,Tribhuvan University,021-545519,,,"Belbari,         ",Morang,Koshi,"Belbari, Morang  Morang   Koshi","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/belbari-multiple-campus,Public,,,,,
Thokarpa Samudayik Multiple Campus,Tribhuvan University,011-690081,,,"Thokarpa,         ",Sindhupalchok,Bagmati,"Thokarpa, Sindhupalchok  Sindhupalchok   Bagmati",Bachelor of Education (B.Ed),http://edusanjal.com/college/thokarpa-samudayik-multiple-campus,Public,,,,,
Tulasi Mehar College,Tribhuvan University,026-520662,,,         ,Dhankuta,Koshi,Dhankuta   Dhankuta   Koshi,Bachelor of Business Studies (BBS),http://edusanjal.com/college/tulasi-mehar-college,Public,,,,,
Anarmani Public Campus,Tribhuvan University,,,,"Anarmani,         ",Jhapa,Mechi,"Anarmani, Jhapa  Jhapa   Mechi",Bachelor of Business Studies (BBS),http://edusanjal.com/college/anarmani-public-campus,Public,,,,,
Pratap Smiriti College,Tribhuvan University,,,,"Lamidanda,         ",Dolakha,Janakpur,"Lamidanda, Dolakha  Dolakha   Janakpur",Bachelor of Education (B.Ed),http://edusanjal.com/college/pratap-smiriti-college,Public,,,,,
Paropakar Adarsha Multiple Campus,Tribhuvan University,064-690392,,,"Jaubari, Gorakha       ",Gorkha,Gandaki,"Jaubari, Gorakha  Gorkha   Gandaki","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/paropakar-adarsha-multiple-campus,Public,,,,,
Simpani Campus,Tribhuvan University,993361040,,,        ,Khotang,Sagarmatha,Khotang  Khotang   Sagarmatha,Bachelor of Education (B.Ed),http://edusanjal.com/college/simpani-campus,Public,,,,,
Gramodaya Yugkabi Siddhicharan Campus,Tribhuvan University,9744030625,,,        ,Okhaldhunga,Sagarmatha,Okhaldhunga  Okhaldhunga   Sagarmatha,Bachelor of Education (B.Ed),http://edusanjal.com/college/gramodaya-yugkabi-siddhicharan-campus,Public,,,,,
Bardibas Janta Multiple Campus,Tribhuvan University,"044-550118,550363",,,"Bardibas,         ",Mahottari,Janakpur,"Bardibas, Mahottari  Mahottari   Janakpur","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/bardibas-janta-multiple-campus,Public,,,,,
Ramailo Campus,Tribhuvan University,021-691839,,,"Bayarban, Ramailo,         ",Morang,Koshi,"Bayarban, Ramailo, Morang  Morang   Koshi","Bachelor of Business Studies (BBS),Bachelor of Arts-BA",http://edusanjal.com/college/ramailo-campus,Public,,,,,
Urlabari Campus,Tribhuvan University,021-540061,,,"Urlabari,         ",Morang,Koshi,"Urlabari, Morang  Morang   Koshi","Bachelor of Arts-BA,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Master of Arts (MA) General,Master of Education (M.Ed) General,Master of Arts (MA) in Rural Development",http://edusanjal.com/college/urlabari-campus,Public,,,,,
Ramananda Bisheshwor Mahendra Campus,Tribhuvan University,044-520114,,,Jaleshwor       ,Mahottari,Janakpur,Jaleshwor  Mahottari   Janakpur,"Bachelor of Education (B.Ed),Master of Education (M.Ed) General,Bachelor of Business Studies (BBS)",http://edusanjal.com/college/ramananda-bisheshwor-mahendra-campus,Public,,,,,
Okhaldhunga Campus,Tribhuvan University,037-520028,,,        ,Okhaldhunga,Sagarmatha,Okhaldhunga  Okhaldhunga   Sagarmatha,"Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed),Master of Education (M.Ed) General",http://edusanjal.com/college/okhaldhunga-campus,Public,,,,,
Diktel Campus,Tribhuvan University,036-520119,,,"Diktel,         ",Khotang,Sagarmatha,"Diktel, Khotang  Khotang   Sagarmatha","Bachelor of Arts-BA,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),MA Nepali",http://edusanjal.com/college/diktel-campus,Public,,,,,
