OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,HighSchoolCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Princeton Higher Secondary School,HSEB,"977-1-4107564, 4107604",info@princeton.edu.np,http://www.princeton.edu.np/,Shantinagar       ,Kathmandu,Bagmati," Princeton Higher Secondary School Shantinagar, New Baneshwar, Kathmandu-34","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/princeton-higher-secondary-school,Private,,,,,
Plan Academy Higher Secondary School,HSEB,"977-1-5528419, 5537695,",,,"Kumaripati,         ",Lalitpur,Bagmati,"Proposed Name: Plan Academy Higher Secondary School Kumaripati, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/plan-academy-higher-secondary-school,Private,,,,,
Uniglobe Higher Secondary School,HSEB,977-1-4220722|4251409|4221875,info@uniglobecollege.edu.np,http://uniglobecollege.edu.np/,"Kamaladi, Ganeshthan       ",Kathmandu,Bagmati,"Kamaladi, Ganeshthan  Kathmandu   Bagmati","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/uniglobe-higher-secondary-school,Private,http://www.facebook.com/UniglobeHSSCollege,,https://twitter.com/UniglobeHSS/,https://www.youtube.com/c/uniglobehsscollege,
GoldenGate International College,HSEB,"977-1-4477082, 4495165",info@goldengate.edu.np,,"Old Baneshwor, Battisputali       ",Kathmandu,Bagmati," Golden Gate International College Wisdom Tower, Trikuti Colony, Battisputali Old Baneshwor, Kathmandu","Ten Plus Two Humanities ; 40;,Ten Plus Two Science ; 800;,Ten Plus Two Management ; 500;",http://edusanjal.com/college/golden-gate-international-college,Private,,,,,
College of Applied Business (CAB),HSEB,"977-1-4462736, 9860041587",info@cab.edu.np,http://www.cab.edu.np/,"Gangahity, Dhobikhola       ",Kathmandu,Bagmati,"College of Applied Business Gangahity, Dhobikhola",Ten Plus Two Management,http://edusanjal.com/college/college-applied-business,Private,https://www.facebook.com/collegeofappliedbusiness/,,,,
KMC National Higher Secondary School,HSEB,"977-01-5201331,5201334",,http://www.nationalcampus.edu.np/,Balkumari       ,Lalitpur,Bagmati,Balkumari  Lalitpur   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/national-higher-secondary-school,Private,,,,,
Kathmandu Model Higher Secondary School,HSEB,"977-1-4242121,4242015",info@ktmmodelcollege.edu.np,http://www.ktmmodelcollege.edu.np/,Bagbazar       ,Kathmandu,Bagmati,Bagbazar  Kathmandu   Bagmati,"Ten Plus Two Science ; 850; ; 92000;,Ten Plus Two Management ; 350; ; 66400;",http://edusanjal.com/college/kathmandu-model-higher-secondary-school,Private,,,,,
Einstein Academy Higher Secondary School and College,HSEB,"01-5170418,5171139",krrai2015@gmail.com,http://www.einsteinacademy.edu.np/,Mahalaxmi Chowk       ,Lalitpur,Bagmati," Einstein Academy HSS and College Mahalaxmisthan Chowk,Ring Road, Lalitpur-14 G.P.O. box:8975, EPC 719","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/einstein-academy-higher-secondary-school-and-college,Private,https://www.facebook.com/einstein.academy,,,,
Global College of Management,HSEB,"977-1-4488312, 4475254",info@proed.edu.np,http://globalcollege.edu.np/gcm/,Mid-Baneshwor       ,Kathmandu,Bagmati," Global College of Management (Under Pro-Ed. Limited) Mid- Baneshwor, Kathmandu PO Box:24855",Ten Plus Two Management ; 600;,http://edusanjal.com/college/global-college-management,Private,,,,,
The Chandbagh Higher Secondary School,HSEB,"01-4371229, 4371229",principal@chandbagh.edu.np,http://chandbagh.edu.np/,Bansbari       ,Kathmandu,Bagmati,Bansbari  Kathmandu   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/chandbagh-higher-secondary-school,Private,,,,,
Columbus Higher Secondary School,HSEB,"977-1-4781747, 4784883",college@columbus.edu.np,http://www.columbus.edu.np/,New Baneshwor       ,Kathmandu,Bagmati," Columbus Higher Secondary School and College P.O Box: 23728, Shankhamul Marg New Baneshwor, Kathmandu, Nepal","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/columbus-higher-secondary-school,Private,,,,,
"Everest College, Thapathali",HSEB,"977-1-4231460, 4266652, 4229653",info@everestcollege.edu.np,http://everestcollege.edu.np/,Thapathali       ,Kathmandu,Bagmati,Thapathali  Kathmandu   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/everest-college-thapathali,Private,,,,,
Premier Higher Secondary School,HSEB,"977-1-4107138, 410 7198",info@premiercollege.edu.np,http://www.premiercollege.edu.np/,New Baneshwor       ,Kathmandu,Bagmati,New Baneshwor  Kathmandu   Bagmati,"Ten Plus Two Humanities ; 20;,Ten Plus Two Management ; 240;,Ten Plus Two Science ; 160;",http://edusanjal.com/college/premier-higher-secondary-school,Private,,,,,
K and K International College,HSEB,"977-1-4474557, 4497515",info@kandk.edu.np,http://www.kandk.edu.np/,"New Baneshwor (Infront of BICC, West Gate-2)       ",Kathmandu,Bagmati,"New Baneshwor (Infront of BICC, West Gate-2)  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/k-and-k-international-college,Private,,,,,
Pokhara Higher Secondary School,HSEB,"061-532521, 521283",phssbagar@gmail.com,http://phssbagar.com/,"Bhimkali Patan, Bagar Pokhara       ",Kaski,Gandaki,"Bhimkali Patan, Bagar Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/pokhara-higher-secondary-school,Public,,,,,
​Campion Academy,HSEB,"977-1-5535131, 5537959",principal.ca@cgeducation.com.np,http://cgeducation.com.np/campion_academy.php,Lagankhel (Next to Patan Hospital)       ,Lalitpur,Bagmati,Lagankhel (Next to Patan Hospital)  Lalitpur   Bagmati,"Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/campion-academy,Private,,,,,
Sahid Ramnath Dahal Smriti Higher Secondary School,HSEB,"977-014360969, 4361486",,,"Balaju Chowk, Opposite to Balaju Bhatbhateni Supermarket        ",Kathmandu,Bagmati,"Balaju Chowk, Opposite to Balaju Bhatbhateni Supermarket   Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/sahid-ramnath-dahal-smriti-higher-secondary-school,Private,,,,,
Peoples Campus,HSEB,"977-1-4251412,4251990",pcampus@wlink.com.np,http://www.peoplescampus.edu.np/,Paknajol       ,Kathmandu,Bagmati," People's Campus Paknajol, Kathmandu, Nepal P.O. Box : 20336 ",Ten Plus Two Management,http://edusanjal.com/college/peoples-campus,Public,,,,,
Brightland College,HSEB,"977-81-521324,550668,550487",principal@brightlandcollege.edu.np,http://www.brightlandcollege.edu.np/,"Surkhet Road, Nepalgunj       ",Banke,Bheri," Brightland College  Surkhet Road, Near Hotel Aroma, building-1, Nepalgunj-13.",Ten Plus Two Management,http://edusanjal.com/college/brightland-college,Public,,,,,
Baneshwor Campus,HSEB,"977-1-4620310,4620332",baneshworcampus2047@yahoo.com,http://www.baneshworcampus.edu.np/,"Shantinagar,         ",Kathmandu,Bagmati," Baneshwor Campus Shantinagar, Kathmandu,","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/baneshwor-campus,Public,,,,,
Modern Public Higher Secondary School,HSEB,"977-81-522204,524298",mphss_2053@yahoo.com,http://www.modernplus2-nepalgunj.com/,"Surkhet Road, Belaspur, Nepalgnuj       ",Banke,Bheri," Modern Public Higher Secondary School Surkhet Road, Belaspur, Nepalgnuj-16","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/modern-public-higher-secondary-school,Public,,,,,
Gramin Aadarsha Multiple Campus,HSEB,"01-4354124, 4381705",,,Nepaltar       ,Kathmandu,Bagmati," Gramin Aadarsha Multiple Campus Nepaltar, Balaju, Kathmandu ","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/gramin-aadarsha-multiple-campus,Public,,,,,
St. Marys School,HSEB,977-1-5524846 / 2120093,info@stmarys.com.np,http://stmarys.edu.np/,Jawalakhel       ,Lalitpur,Bagmati," St. Mary's Higher Secondary School Jawalakhel, Lalitpur ","Ten Plus Two Humanities ; 30; ; 79000;,Ten Plus Two Science ; 80; ; 79000;,Ten Plus Two Management ; 80; ; 79000;",http://edusanjal.com/college/st-marys-school,Public,,,,,
Budhanilkantha School,HSEB,"977-1-4371637, 4370248",info@bnks.edu.np,http://bnks.edu.np/,Budhanilkantha       ,Kathmandu,Bagmati,": Budhanilkantha School PO Box: 1018, Kathmandu, Nepal  ",Ten Plus Two Science,http://edusanjal.com/college/budhanilkantha-school,Public,,,,,
Namuna Machhindra Campus,HSEB,500414/5004064,,,"Lagankhel,         ",Lalitpur,Bagmati," Namuna Machhindra Campus Lagankhel, Lalitpur  ","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/namuna-machhindra-campus,Public,,,,,
GMS Multiple Campus,HSEB,"977-1-4275240, 977-1-6922351",,,"Kalimati,         ",Kathmandu,Bagmati,"Kalimati, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/gms-multiple-campus,Public,,,,,
Gauradaha Campus,HSEB,023-480128/023-29744,,,"Gauradaha,         ",Jhapa,Mechi," Gauradaha Campus Gauradaha , Jhapa","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/gauradaha-campus,Public,,,,,
Children Paradise Higher Secondary School Lalitpur,HSEB,977-1-5560888,cpsgodawari@wlink.com.np,http://www.cpsgodawari.edu.np/,"Godawari,         ",Lalitpur,Bagmati," Children Paradise H.S School Godawari-4, Lalitpur, Nepal  ","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/children-paradise-higher-secondary-school,Public,,,,,
Adarsha Saula Yubak Higher Secondary School and College,HSEB,"977-1-5590960, 5221020, 5591549",adarsha@adarshacollege.edu.np,http://adarshacollege.edu.np/,"Sainbu, Bungmati-1,         ",Lalitpur,Bagmati," Adarsha Saula Yubak H S School Sainbu, Bungmati-1, Lalitpur","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Science",http://edusanjal.com/college/adarsha-saula-yubak-higher-secondary-school-and-college,Public,,,,,
Pragati Sikshya Sadan Higher Secondary School,HSEB,977-1-5522229,info@pragati.edu.np,http://www.pragati.edu.np/,"Kupondole,         ",Lalitpur,Bagmati," Pragati Sikshya Sadan H S School Kupondole, Lalitpur  ",Ten Plus Two Management,http://edusanjal.com/college/pragati-sikshya-sadan-higher-secondary-school,Public,,,,,
Madan Smarak Higher Secondary School,HSEB,977-1-5521092,mshss@yahoo.com,,"Pulchowk,         ",Lalitpur,Bagmati," Madan Smarak H S School Pulchwok, Lalitpur  ","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/madan-smarak-higher-secondary-school,Public,,,,,
Jana Bhawana Campus,HSEB,01-5570512,Janabhawanacampus@gmail.com,http://www.janabhawana.edu.np/,Chapagaun       ,Lalitpur,Bagmati," Jana Bhawana Campus Chapagaun, Lalitpur ","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/jana-bhawana-campus,Public,,,,,
SOS Hermann Gmeiner Higher Secondary School (Surkhet),HSEB,977-83-520936,hgssurkhet@ntc.net.np,http://www.sosnepal.org.np/,        ,Surkhet,Bheri,Surkhet  Surkhet   Bheri,Ten Plus Two Management,http://edusanjal.com/college/sos-hermann-gmeiner-higher-secondary-school-surkhet,Public,,,,,
SOS Hermann Gmeiner School (Kaski),HSEB,"977-61-524569, 977-61-526172",soshgsgandaki@fewanet.com.np,http://www.sosnepal.org.np/,"Rambazar, Pokhara       ",Kaski,Gandaki,"Rambazar, Pokhara  Kaski   Gandaki",Ten Plus Two Science ; 88;,http://edusanjal.com/college/sos-hermann-gmeiner-school-kaski,Public,,,,,
SOS Hermann Gmeiner School (Sunsari),HSEB,977-25-581494,hgsitahari@wlink.com.np,http://www.sosnepal.org.np/,Itahari       ,Sunsari,Koshi,Itahari  Sunsari   Koshi,Ten Plus Two Management,http://edusanjal.com/college/sos-hermann-gmeiner-school-sunsari,Public,,,,,
SOS Hermann Gmeiner Higher Secondary School (Chitwan),HSEB,977-56-531287,info@soshgsbharatpur.edu.np,http://www.soshgsbharatpur.edu.np/,"Bharatpur- 8, Gaurigunj       ",Chitwan,Narayani,"Bharatpur- 8, Gaurigunj  Chitwan   Narayani",Ten Plus Two Science ; 44;,http://edusanjal.com/college/sos-hermann-gmeiner-higher-secondary-school-chitwan,Public,,,,,
Bagiswori Higher Secondary School and College,HSEB,"977-1-6610270, 6613041",info@bagisworischool.com,http://bagisworischool.com/,        ,Bhaktapur,Bagmati," Bagiswori H S School Taulachhen Chyamhasinga, Bhaktapur ","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/bagiswori-higher-secondary-school-and-college,Public,,,,,
Navadurga Multiple Campus,HSEB,01-6612067,,,        ,Bhaktapur,Bagmati,Bhaktapur  Bhaktapur   Bagmati,Ten Plus Two Management,http://edusanjal.com/college/navadurga-multiple-campus,Public,,,,,
SOS Hermann Gmeiner Higher Secondary School (Bhaktapur),HSEB,977-1-6630491,soshgs@mos.com.np,http://www.sosnepal.org.np/,Sanothimi       ,Bhaktapur,Bagmati,Sanothimi  Bhaktapur   Bagmati,Ten Plus Two Science ; 100;,http://edusanjal.com/college/sos-hermann-gmeiner-higher-secondary-school-bhaktapur,Public,,,,,
Erudite Academy Higher Secondary School,HSEB,,,,"Lokanthali,         ",Bhaktapur,Bagmati," Erudite Academy H S School Lokanthali, Bhaktapur ","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/erudite-academy-higher-secondary-school,Public,,,,,
Modern College of Management,HSEB,977-1-6632927,info@mcm.edu.np,http://www.mcm.edu.np/,"Thimi,         ",Bhaktapur,Bagmati," Modern College of Management ShakhadharChowk, Thimi, Bhaktapur, Nepal",Ten Plus Two Management,http://edusanjal.com/college/modern-college-management,Public,,,,,
Kathmandu Campus,HSEB,977-1-4265828,info@kathmanducampus.edu.np,,"Kalimati,         ",Kathmandu,Bagmati,"Kalimati, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/kathmandu-campus,Public,,,,,
Padmodaya Higher Secondary School Kathmandu,HSEB,,,,Putalisadak       ,Kathmandu,Bagmati,Putalisadak  Kathmandu   Bagmati,"Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/padmodaya-higher-secondary-school,Public,,,,,
Koteshwor Multiple Campus,HSEB,01-4155145,,,"Koteshwor,         ",Kathmandu,Bagmati," Koteshwor Multiple Campus Koteshwor, Kathmandu  ","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/koteshwor-multiple-campus,Public,,,,,
Kantipur Campus,HSEB,"01-4450804, 4450316",,,"Thali,         ",Kathmandu,Bagmati," Kantipur Campus Thali, Kathmandu  ","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/kantipur-campus,Public,,,,,
Shivapuri Higher Secondary School and College,HSEB,"977-1-4410877, 4422877",shivapuri@enet.com.np,,"Maharajgunj,         ",Kathmandu,Bagmati," Shivapuri H S School and College PO Box: 4789 Maharajgunj, Kathmandu  ",Ten Plus Two Management,http://edusanjal.com/college/shivapuri-higher-secondary-school-and-college,Public,,,,,
Ratna Jyoti Multiple Campus,HSEB,,,,"Maruhiti,         ",Kathmandu,Bagmati,"Maruhiti, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/ratna-jyoti-multiple-campus,Public,,,,,
Jagat Mandir Higher Secondary School,HSEB,"977-1-4481893, 4488290",jmandir2005@yahoo.com,http://www.jagatmandir.edu.np/,Chabhil       ,Kathmandu,Bagmati," Jagat Mandir H S School Chabhil, Kathmandu  ",Ten Plus Two Management,http://edusanjal.com/college/jagat-mandir-higher-secondary-school,Public,,,,,
Manohar Sahid Smarak Campus,HSEB,01-4354029,,,"Gongabu,         ",Kathmandu,Bagmati,"Gongabu, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/manohar-sahid-smarak-campus,Public,,,,,
Hiralal Multiple Campus,HSEB,,,,"Thahiti,         ",Kathmandu,Bagmati," Hiralal Multiple Campus Thahiti, Kathmandu  ","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/hiralal-multiple-campus,Public,,,,,
Chiran Milan Bishwa Shanti Campus,HSEB,977-1-4017015,cmbscampus@yahoo.com,http://cmbscampus.edu.np/,"Bansbari,Kapanmarg,         ",Kathmandu,Bagmati," Chiran Milan Bishwa Shanti Campus Bansbari, KapanMarg, Maharajgunj, Kathmandu  ","Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/chiran-milan-bishwa-shanti-campus,Public,,,,,
Ratna Shiksha Public Campus,HSEB,01-4602084,,,"Koteshwor,         ",Kathmandu,Bagmati," Ratnashiksha Public Campus Koteshwor, Kathmandu  ","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/ratna-shiksha-public-campus,Public,,,,,
Santwona Memorial Campus,HSEB,info@santwonamemorial.edu.np,info@santwonamemorial.edu.np,http://santwonamemorial.edu.np/,"Shantinagar,         ",Kathmandu,Bagmati,"Shantinagar, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/santwona-memorial-campus,Public,,,,,
Mahendra Bauddha Higher Secondary School,HSEB,,,,"Bauddha,         ",Kathmandu,Bagmati,"Bauddha, Kathmandu  Kathmandu   Bagmati","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/mahendra-bauddha-higher-secondary-school,Public,,,,,
Janamaitri Multiple Campus,HSEB,"977-1-4277202, 4286283",info@janamaitri.edu.np,http://www.janamaitri.edu.np/,"Kuleshwar,         ",Kathmandu,Bagmati," Jana Maitri Multiple Campus Kuleshwar, Kathmandu  ","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/janamaitri-multiple-campus,Public,,,,,
Nuwakot Adarsha Bahumukhi Campus,HSEB,010-560157,,,        ,Nuwakot,Bagmati,Nuwakot  Nuwakot   Bagmati,"Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/nuwakot-adarsha-bahumukhi-campus,Public,,,,,
Dibya Jyoti Multiple Campus,HSEB,"078-580209, 580031",,," , Bardghat       ",Nawalparasi,Lumbini," Dibya Jyoti Multiple Campus Nawalparasi,  Bardghat","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/dibya-jyoti-multiple-campus,Public,,,,,
Siddhartha Campus,HSEB,076-550122,,,"Badganga,         ",Kapilvastu,Lumbini,"  Siddhartha Campus Badhganga, Kapilvastu ","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/siddhartha-campus,Public,,,,,
Aadikavi Bhanubhakta Multiple Campus,HSEB,"065-560096, 560946",info@aadikavicampus.edu.np,http://aadikavicampus.edu.np/,Damauli       ,Tanahu,Gandaki,Damauli  Tanahu   Gandaki,"Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/aadikavi-bhanubhakta-multiple-campus,Public,,,,,
Drabya Shah Multiple Campus,HSEB,"064-420788, 420228",drabyashah@gmail.com,," -8, Laxmi Bazar       ",Gorkha,Gandaki,"Gorkha-8, Laxmi Bazar  Gorkha   Gandaki","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/drabya-shah-multiple-campus,Public,,,,,
Waling Multiple Campus,HSEB,977-63-440224,info@wmc.edu.np,http://wmc.edu.np/,"Waling,Syanja       ",Syangja,Gandaki," Waling Multiple Campus Waling,Syanja ","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/waling-multiple-campus,Public,,,,,
Kumarbarti Multiple Campus,HSEB,078-540115,,,        ,Nawalparasi,Lumbini, Kumarbarti Multiple Campus Nawalparasi  ,"Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/kumarbarti-multiple-campus,Public,,,,,
Barun Multiple Campus,HSEB,029-560195/029-60195,info@baruncampus.edu.np,http://baruncampus.edu.np/,Khadbari       ,Sankhuwasabha,Koshi," Barun Multiple Campus Khadbari, Sankhuwasava  ","Ten Plus Two Education,Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/barun-multiple-campus,Public,,,,,
Gandaki Higher Secondary Boarding School,HSEB,"977-61-440398, 440681",gbs@gbs.edu.np,http://gbs.edu.np/,"Lamachaur, Pokhara       ",Kaski,Gandaki,"Lamachaur, Pokhara  Kaski   Gandaki",Ten Plus Two Science,http://edusanjal.com/college/gandaki-higher-secondary-boarding-school,Public,,,,,
Modern Kanya Multiple Collegea,HSEB,"977-1-4469712, 4490647",mkmcollege_@hotmail.com,http://modernkanya.com/,"Bhinsengola, Baneshwor,         ",Kathmandu,Bagmati," Modern Kanya Multiple College Bhimsengola, Baneshwor  ","Ten Plus Two Management,Ten Plus Two Humanities",http://edusanjal.com/college/modern-kanya-multiple-college,Public,,,,,
"Adarsh Higher Secondary School, Nepalgunj",HSEB,977 - 81 - 526194,adarshschoolnepalgunj@gmail.com,http://www.adarshschool.edu.np/,"Surkhet Road, Nepalgunj       ",Banke,Bheri,"Surkhet Road, Nepalgunj  Banke   Bheri","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/adarsh-higher-secondary-school,Public,,,,,
Janata Campus Morang,HSEB,021-580324,,,"Rangeli,         ",Morang,Koshi,"Rangeli, Morang  Morang   Koshi","Ten Plus Two Management,Ten Plus Two Education",http://edusanjal.com/college/janata-campus-morang,Public,,,,,
Dang Valley Higher Secondary School,HSEB,,,,"Ghorahi, Dang       ",Dang-Deukhuri,Rapti," Dang Valley Higher Secondary School Ghorahi, Dang  ","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/dang-valley-higher-secondary-school,Public,,,,,
Diamond Higher Secondary School,HSEB,977-61-560146,info@diamondhss.edu.np,http://www.diamondhss.edu.np/,"Lekhnath-7, Talchowk, Pokhara       ",Kaski,Gandaki,"Lekhnath-7, Talchowk, Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/diamond-higher-secondary-school,Public,,,,,
Damak Multiple Campus,HSEB,"977-23-580132, 580528, 581232",dmcdamak@ntc.net.np,http://damakcampus.com/,"Damak,         ",Jhapa,Mechi," Damak Multiple Campus Ward No. 14, Damak Municipality, Jhapa, Nepal","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/damak-multiple-campus,Public,,,,,
Amar Singh Model Higher Secondary School,HSEB,"977-61-520359, 531506, 532841, 524898",amarsinghhss@yahoo.com,http://www.amarsinghschool.edu.np/,"Ramghat, pokhara       ",Kaski,Gandaki,"Ramghat, pokhara  Kaski   Gandaki","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Education",http://edusanjal.com/college/amar-singh-model-higher-secondary-school,Public,,,,,
Sagarmatha Higher Secondary School,HSEB,"977-71-577134, 577152",info@sebhs.edu.np,http://www.sebhs.edu.np/,"Devdaha,         ",Rupandehi,Lumbini," Sagarmatha Higher Secondary Boarding School  Devdaha-5, Shitalnagar  Rupandehi, Nepal ","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/sagarmatha-higher-secondary-school,Public,,,,,
Sirjana Higher Secondary School,HSEB,977-61-528053,info@srijanahss.edu.np,http://www.srijanahss.edu.np/,"Prithwi Chowk, Pokhara       ",Kaski,Gandaki,"Prithwi Chowk, Pokhara  Kaski   Gandaki","Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/sirjana-higher-secondary-school,Public,,,,,
Global Collegiate Higher Secondary School,HSEB,"977-61-524604, 527813",golabal@globalcollegiate.edu.np,http://www.globalcollegiate.edu.np/,"Ranipauwa, Pokhara       ",Kaski,Gandaki,"Ranipauwa, Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/global-collegiate-higher-secondary-school,Public,,,,,
LA Higher Secondary School,HSEB,"061-550168, 521249",lacollege@gmail.com,http://www.laschool.edu.np/,"Sital Marg, New Road, Pokhara       ",Kaski,Gandaki,"Sital Marg, New Road, Pokhara  Kaski   Gandaki",Ten Plus Two Management,http://edusanjal.com/college/la-higher-secondary-school,Public,,,,,
Amar Jyoti Higher Secondary School Kathmandu,HSEB,01-4-27944,amarjyotiss@yahoo.com,http://www.ajhschool.edu.np/,"Syuchatar-5,         ",Kathmandu,Bagmati,"s Amar Jyoti Higher Secondary School Syuchatar-5, Kathmandu, Nepal P.O.Box No. 23523","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/amar-jyoti-higher-secondary-school,Public,,,,,
Amar Higher Secondary School Pyuthan,HSEB,977-86-690036,amarhss1@gmail.com,,"Bhingri,         ",Pyuthan,Rapti," Amar Higher Secondary School/ Amar Campus Bhingri, Pyuthan","Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/amar-higher-secondary-school-pyuthan,Public,,,,,
Shikshadeep Higher Secondary School,HSEB,"977-21-440397, 535292",info@shikshadeep.edu.np,http://shikshadeep.edu.np/,Biratnagar       ,Morang,Koshi,Biratnagar  Morang   Koshi,"Ten Plus Two Science,Ten Plus Two Management",http://edusanjal.com/college/shikshadeep-higher-secondary-school,Public,,,,,
Dharan Higher Secondary School,HSEB,"977-25-5227320, 25525441",infodhss@gmail.com,http://www.dhss.edu.np/,"Dharan,         ",Sunsari,Koshi," Dharan Higher Secondary School Laxmi Sadak, Dharan-4 Sunsari, Nepal","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Management",http://edusanjal.com/college/dharan-higher-secondary-school,Public,,,,,
Sukuna Multiple Campus,HSEB,"021-545617, 021-545717",info@sukuna.edu.np,http://sukuna.edu.np/,"Indrapur,         ",Morang,Koshi," Sukuna Multiple College Indrapur, Morang","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management",http://edusanjal.com/college/sukuna-multiple-campus,Public,,,,,
Siddhartha Gautam Buddha Campus,HSEB,"977-71-541301, 71697111",info@sgbc.edu.np,http://sgbc.edu.np/,Butwal       ,Rupandehi,Lumbini," Siddhartha Gautam Buddha Campus Butwal-7, Haatbazar Rupandehi, Lumbini, Nepal  ","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education",http://edusanjal.com/college/siddhartha-gautam-buddha-campus,Public,,,,,
Sudur Pashchimanchal Academy,HSEB,977-91-525785,,http://spa.edu.np/,Santoshi Tole Dhangadi       ,Kailali,Seti,Santoshi Tole Dhangadi  Kailali   Seti,"Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",http://edusanjal.com/college/sudur-pashchimanchal-academy,Public,,,,,
